game_pk,team,hrs
718070,Los Angeles Angels,1
718062,Seattle Mariners,2
718063,Chicago White Sox,1
718063,Cleveland Guardians,1
718065,Texas Rangers,1
718059,Cincinnati Reds,1
718059,St. Louis Cardinals,2
718061,Tampa Bay Rays,1
718061,Toronto Blue Jays,4
718060,Arizona Diamondbacks,1
718064,San Diego Padres,4
718064,Washington Nationals,2
718058,Baltimore Orioles,2
718058,New York Yankees,2
718057,Los Angeles Dodgers,2
718055,Chicago Cubs,3
718055,New York Mets,1
718054,Minnesota Twins,2
718054,San Francisco Giants,1
718056,Milwaukee Brewers,2
718051,Miami Marlins,2
718053,Los Angeles Angels,3
718050,Seattle Mariners,2
718045,Texas Rangers,1
718043,Arizona Diamondbacks,1
718043,Philadelphia Phillies,1
718047,Minnesota Twins,2
718046,Milwaukee Brewers,3
718041,Cincinnati Reds,1
718041,St. Louis Cardinals,2
718044,Tampa Bay Rays,2
718044,Toronto Blue Jays,1
718052,San Diego Padres,2
718040,Baltimore Orioles,2
718040,New York Yankees,3
718042,Atlanta Braves,2
718042,Los Angeles Dodgers,1
718039,Detroit Tigers,2
718038,Chicago Cubs,1
718038,New York Mets,1
718036,Colorado Rockies,1
718036,Miami Marlins,2
718034,Boston Red Sox,1
718034,Los Angeles Angels,3
718037,Seattle Mariners,1
718033,Colorado Rockies,1
718033,Miami Marlins,2
718035,San Diego Padres,2
718031,Chicago White Sox,1
718031,Detroit Tigers,1
718026,Atlanta Braves,3
718026,Philadelphia Phillies,2
718024,Chicago Cubs,1
718024,New York Mets,1
718028,San Francisco Giants,1
718025,Oakland Athletics,1
718025,Seattle Mariners,2
718018,Tampa Bay Rays,2
718021,Chicago White Sox,1
718020,Baltimore Orioles,1
718020,Texas Rangers,3
718023,San Diego Padres,2
718019,Atlanta Braves,2
718014,Kansas City Royals,2
718014,Washington Nationals,2
718013,Toronto Blue Jays,2
718017,San Francisco Giants,3
718016,Colorado Rockies,2
718016,New York Mets,1
718015,Los Angeles Angels,1
718015,Miami Marlins,2
718010,Boston Red Sox,1
718009,Oakland Athletics,1
718012,Pittsburgh Pirates,7
718012,Seattle Mariners,2
718006,New York Yankees,1
718006,San Diego Padres,1
718005,Detroit Tigers,2
718008,Minnesota Twins,4
718008,Toronto Blue Jays,3
718001,Baltimore Orioles,1
718003,Houston Astros,1
718000,Kansas City Royals,1
718002,Los Angeles Dodgers,2
718002,Tampa Bay Rays,1
717997,Atlanta Braves,1
717999,San Francisco Giants,1
717991,Arizona Diamondbacks,1
718007,Cincinnati Reds,2
717996,St. Louis Cardinals,1
718011,Colorado Rockies,1
718011,New York Mets,2
717998,Los Angeles Angels,1
717998,Miami Marlins,1
717994,Los Angeles Dodgers,5
717994,Tampa Bay Rays,1
717995,New York Yankees,2
717995,San Diego Padres,2
717993,St. Louis Cardinals,3
717989,Chicago White Sox,1
717989,Detroit Tigers,1
717985,Kansas City Royals,2
717986,Milwaukee Brewers,1
717986,San Francisco Giants,2
717987,Chicago Cubs,2
717987,Cincinnati Reds,1
717982,Colorado Rockies,2
717982,New York Mets,2
717980,Houston Astros,7
717980,Oakland Athletics,1
717984,Miami Marlins,1
717981,Arizona Diamondbacks,2
717981,Boston Red Sox,1
717983,Seattle Mariners,3
717992,Atlanta Braves,3
717992,Philadelphia Phillies,2
717979,Texas Rangers,1
717975,Kansas City Royals,2
717977,Arizona Diamondbacks,2
717977,Colorado Rockies,1
717968,Houston Astros,1
717968,Minnesota Twins,2
717978,Pittsburgh Pirates,2
717978,San Francisco Giants,2
717970,Atlanta Braves,1
717970,Oakland Athletics,1
717971,Chicago White Sox,3
717971,Los Angeles Angels,2
717973,Los Angeles Dodgers,1
717969,New York Yankees,3
717969,Seattle Mariners,1
717964,Detroit Tigers,2
717964,Texas Rangers,1
717963,Miami Marlins,1
717965,Milwaukee Brewers,1
717966,Cincinnati Reds,1
717962,New York Mets,1
717961,Chicago Cubs,1
717956,Houston Astros,2
717959,Chicago White Sox,1
717959,Los Angeles Angels,2
717955,Arizona Diamondbacks,3
717955,Colorado Rockies,1
717958,Atlanta Braves,1
717952,New York Yankees,3
717972,Pittsburgh Pirates,1
717957,Los Angeles Dodgers,3
717957,Washington Nationals,1
717943,Chicago White Sox,1
717943,Los Angeles Angels,5
717950,Tampa Bay Rays,2
717946,Baltimore Orioles,1
717946,Cleveland Guardians,3
717949,Atlanta Braves,1
717954,Los Angeles Dodgers,3
717954,Washington Nationals,5
717945,San Diego Padres,1
717947,Milwaukee Brewers,1
717948,Boston Red Sox,2
717948,Cincinnati Reds,1
717944,New York Mets,1
717944,Philadelphia Phillies,1
717938,Houston Astros,2
717940,Arizona Diamondbacks,1
717942,Toronto Blue Jays,2
717934,New York Mets,1
717941,San Diego Padres,1
717933,Colorado Rockies,1
717932,Boston Red Sox,2
717937,Minnesota Twins,2
717936,Los Angeles Angels,1
717931,Cincinnati Reds,1
717931,Milwaukee Brewers,1
717927,Miami Marlins,1
717930,Pittsburgh Pirates,2
717930,St. Louis Cardinals,2
717935,Philadelphia Phillies,2
717935,Washington Nationals,1
717929,Toronto Blue Jays,2
717926,Houston Astros,2
717923,Colorado Rockies,1
717923,Kansas City Royals,2
717921,Chicago Cubs,1
717919,Atlanta Braves,2
717917,Los Angeles Dodgers,4
717917,New York Yankees,3
717920,Baltimore Orioles,1
717920,San Francisco Giants,1
717928,Boston Red Sox,1
717907,Pittsburgh Pirates,1
717907,St. Louis Cardinals,2
717912,Texas Rangers,4
717914,Philadelphia Phillies,1
717908,Houston Astros,2
717908,Los Angeles Angels,1
717909,Kansas City Royals,1
717906,Cincinnati Reds,1
717906,Milwaukee Brewers,2
717913,Cleveland Guardians,2
717913,Minnesota Twins,1
717905,New York Yankees,4
717903,San Diego Padres,2
717901,Arizona Diamondbacks,1
717901,Atlanta Braves,1
717898,St. Louis Cardinals,1
717902,Philadelphia Phillies,5
717902,Washington Nationals,1
717900,New York Mets,4
717900,Toronto Blue Jays,2
717896,Miami Marlins,1
717897,Cincinnati Reds,1
717897,Milwaukee Brewers,2
717899,Houston Astros,1
717899,Los Angeles Angels,1
717893,Kansas City Royals,1
717895,Minnesota Twins,1
717891,Chicago White Sox,1
717891,Detroit Tigers,1
717894,Texas Rangers,2
717890,Baltimore Orioles,1
717890,San Francisco Giants,1
717892,Arizona Diamondbacks,2
717892,Atlanta Braves,2
717889,Chicago Cubs,3
717888,Los Angeles Dodgers,1
717888,New York Yankees,1
717928,Boston Red Sox,1
717886,Detroit Tigers,1
717886,Philadelphia Phillies,2
717887,Kansas City Royals,1
717887,Miami Marlins,1
717878,Houston Astros,4
717878,Toronto Blue Jays,2
717883,Cincinnati Reds,2
717880,San Diego Padres,1
717882,Tampa Bay Rays,2
717875,Philadelphia Phillies,1
717876,Miami Marlins,1
717881,Arizona Diamondbacks,1
717881,Washington Nationals,2
717874,Oakland Athletics,4
717877,Chicago White Sox,2
717877,New York Yankees,1
717871,Houston Astros,1
717871,Toronto Blue Jays,3
717870,Los Angeles Dodgers,2
717872,Atlanta Braves,1
717872,New York Mets,2
717867,Baltimore Orioles,2
717868,St. Louis Cardinals,3
717868,Texas Rangers,2
717861,Los Angeles Angels,2
717864,Seattle Mariners,2
717865,Oakland Athletics,1
717865,Pittsburgh Pirates,1
717863,San Diego Padres,1
717860,Miami Marlins,1
717859,Tampa Bay Rays,2
717866,Arizona Diamondbacks,1
717856,Houston Astros,1
717856,Toronto Blue Jays,2
717853,Cincinnati Reds,3
717853,Los Angeles Dodgers,3
717850,Atlanta Braves,2
717850,New York Mets,2
717851,Milwaukee Brewers,3
717854,St. Louis Cardinals,1
717852,Colorado Rockies,1
717855,Los Angeles Angels,2
717857,New York Yankees,2
717844,Los Angeles Dodgers,1
717845,Minnesota Twins,2
717845,Tampa Bay Rays,1
717849,Baltimore Orioles,2
717846,San Francisco Giants,2
717848,Chicago White Sox,4
717848,New York Yankees,1
717857,New York Yankees,2
717843,Houston Astros,1
717842,Boston Red Sox,1
717842,Cleveland Guardians,4
717840,Atlanta Braves,5
717840,New York Mets,3
717838,Los Angeles Angels,1
717847,Arizona Diamondbacks,1
717847,Washington Nationals,2
717834,Arizona Diamondbacks,2
717834,Detroit Tigers,3
717827,Tampa Bay Rays,2
717827,Texas Rangers,3
717839,Baltimore Orioles,1
717836,New York Mets,1
717836,Pittsburgh Pirates,2
717837,Los Angeles Dodgers,2
717837,Philadelphia Phillies,1
717841,Boston Red Sox,2
717841,New York Yankees,1
717835,Minnesota Twins,1
717833,Cleveland Guardians,1
717833,Houston Astros,1
717828,Chicago White Sox,1
717828,Miami Marlins,1
717832,St. Louis Cardinals,3
717830,Colorado Rockies,1
717830,San Diego Padres,5
717824,Los Angeles Angels,2
717824,Seattle Mariners,2
717821,Arizona Diamondbacks,2
717820,Chicago White Sox,1
717817,St. Louis Cardinals,2
717822,Minnesota Twins,3
717819,Colorado Rockies,1
717818,Baltimore Orioles,2
717812,New York Mets,1
717811,Los Angeles Dodgers,2
717813,Tampa Bay Rays,1
717813,Texas Rangers,1
717816,Atlanta Braves,2
717816,Washington Nationals,1
717814,Milwaukee Brewers,1
717815,Houston Astros,1
717826,Chicago Cubs,2
717825,Boston Red Sox,1
717825,New York Yankees,2
717809,Los Angeles Angels,1
717809,Seattle Mariners,1
717804,Arizona Diamondbacks,1
717804,Detroit Tigers,1
717802,Cleveland Guardians,2
717808,Baltimore Orioles,2
717808,Kansas City Royals,1
717803,New York Mets,1
717803,Pittsburgh Pirates,1
717806,Los Angeles Dodgers,2
717806,Philadelphia Phillies,1
717807,Atlanta Braves,1
717807,Washington Nationals,2
717805,Minnesota Twins,1
717805,Toronto Blue Jays,2
717801,Tampa Bay Rays,1
717801,Texas Rangers,1
717795,Chicago White Sox,1
717795,Miami Marlins,4
717800,Milwaukee Brewers,1
717800,Oakland Athletics,3
717797,Cincinnati Reds,1
717798,Colorado Rockies,4
717798,San Diego Padres,1
717796,San Francisco Giants,4
717799,Los Angeles Angels,3
717799,Seattle Mariners,2
717810,Boston Red Sox,1
717790,Atlanta Braves,1
717790,Detroit Tigers,2
717794,Boston Red Sox,1
717791,St. Louis Cardinals,2
717792,Los Angeles Angels,3
717792,Texas Rangers,1
717793,Cincinnati Reds,1
717793,Kansas City Royals,1
717789,Tampa Bay Rays,1
717785,Arizona Diamondbacks,1
717785,Philadelphia Phillies,1
717786,Miami Marlins,1
717786,Seattle Mariners,3
717787,Baltimore Orioles,4
717787,Toronto Blue Jays,1
717788,Boston Red Sox,2
717779,New York Mets,1
717779,New York Yankees,2
717783,Milwaukee Brewers,1
717783,Minnesota Twins,3
717781,San Francisco Giants,2
717782,Chicago Cubs,2
717782,Pittsburgh Pirates,2
717780,Los Angeles Angels,2
717780,Texas Rangers,2
717777,Kansas City Royals,1
717778,Houston Astros,4
717772,Cleveland Guardians,1
717772,San Diego Padres,2
717775,Arizona Diamondbacks,1
717775,Philadelphia Phillies,2
717773,Miami Marlins,1
717773,Seattle Mariners,3
717776,Los Angeles Dodgers,2
717784,Atlanta Braves,3
717784,Detroit Tigers,3
717770,Atlanta Braves,2
717770,Detroit Tigers,3
717784,Atlanta Braves,3
717784,Detroit Tigers,3
717771,Milwaukee Brewers,2
717767,San Francisco Giants,1
717767,St. Louis Cardinals,1
717769,Toronto Blue Jays,1
717763,Pittsburgh Pirates,3
717765,Los Angeles Angels,1
717765,Texas Rangers,3
717764,Cincinnati Reds,4
717762,Houston Astros,2
717758,San Diego Padres,4
717761,Oakland Athletics,1
717757,Arizona Diamondbacks,1
717757,Philadelphia Phillies,1
717759,Miami Marlins,1
717760,Chicago White Sox,3
717753,Baltimore Orioles,2
717753,Toronto Blue Jays,2
717756,Tampa Bay Rays,2
717755,Arizona Diamondbacks,1
717755,Philadelphia Phillies,1
717752,Minnesota Twins,1
717754,Atlanta Braves,1
717754,Colorado Rockies,2
717751,Los Angeles Angels,3
717746,Washington Nationals,1
717750,Cleveland Guardians,1
717750,San Diego Padres,1
717748,Chicago White Sox,4
717748,Los Angeles Dodgers,1
717744,Chicago Cubs,3
717749,Miami Marlins,1
717749,Washington Nationals,1
717743,New York Mets,1
717743,St. Louis Cardinals,1
717742,Boston Red Sox,2
717742,New York Yankees,1
717745,Atlanta Braves,3
717741,Texas Rangers,1
717741,Toronto Blue Jays,1
717737,Cincinnati Reds,1
717738,Detroit Tigers,3
717738,Minnesota Twins,1
717740,Milwaukee Brewers,1
717740,Pittsburgh Pirates,1
717739,Cleveland Guardians,1
717732,San Diego Padres,1
717732,Tampa Bay Rays,2
717735,Philadelphia Phillies,3
717731,San Francisco Giants,1
717733,Chicago White Sox,2
717733,Seattle Mariners,1
717729,Baltimore Orioles,1
717723,Texas Rangers,3
717723,Toronto Blue Jays,1
717725,Oakland Athletics,1
717727,Cincinnati Reds,1
717727,Houston Astros,2
717726,Kansas City Royals,1
717726,Los Angeles Angels,4
717718,New York Mets,2
717718,St. Louis Cardinals,2
717724,Atlanta Braves,4
717724,Colorado Rockies,1
717722,Chicago White Sox,1
717722,Seattle Mariners,1
717720,Milwaukee Brewers,2
717721,San Francisco Giants,2
717719,Arizona Diamondbacks,4
717719,Cleveland Guardians,1
717730,New York Yankees,1
717708,Baltimore Orioles,1
717708,Chicago Cubs,2
717716,Atlanta Braves,4
717716,Colorado Rockies,2
717714,Washington Nationals,1
717730,New York Yankees,1
717713,New York Mets,2
717713,St. Louis Cardinals,4
717707,Cincinnati Reds,3
717707,Houston Astros,1
717712,Los Angeles Angels,3
717711,Detroit Tigers,2
717710,Pittsburgh Pirates,1
717709,Texas Rangers,2
717705,Oakland Athletics,1
717705,Philadelphia Phillies,1
717706,Arizona Diamondbacks,1
717699,St. Louis Cardinals,2
717692,Detroit Tigers,1
717692,Kansas City Royals,2
717700,Miami Marlins,1
717701,Cincinnati Reds,3
717701,Colorado Rockies,1
717693,Boston Red Sox,1
717693,Minnesota Twins,1
717694,Houston Astros,1
717694,New York Mets,2
717695,Chicago White Sox,2
717695,Texas Rangers,1
717696,Arizona Diamondbacks,2
717697,San Diego Padres,2
717697,San Francisco Giants,3
717687,Baltimore Orioles,3
717689,Atlanta Braves,2
717686,Chicago Cubs,2
717691,St. Louis Cardinals,3
717684,New York Yankees,1
717685,Cincinnati Reds,3
717685,Colorado Rockies,3
717679,Oakland Athletics,1
717683,Boston Red Sox,3
717683,Minnesota Twins,3
717682,Houston Astros,1
717675,Chicago White Sox,2
717675,Texas Rangers,1
717680,Arizona Diamondbacks,1
717680,Milwaukee Brewers,1
717688,San Diego Padres,1
717688,San Francisco Giants,1
717677,Baltimore Orioles,2
717677,Tampa Bay Rays,2
717676,Toronto Blue Jays,1
717669,Cincinnati Reds,1
717669,Colorado Rockies,3
717671,Chicago Cubs,1
717668,Detroit Tigers,1
717670,Houston Astros,2
717670,New York Mets,1
717672,Milwaukee Brewers,1
717673,Washington Nationals,1
717666,New York Yankees,3
717666,Seattle Mariners,1
717663,Cleveland Guardians,1
717663,Oakland Athletics,1
717665,Boston Red Sox,1
717665,Minnesota Twins,1
717667,Chicago White Sox,1
717667,Texas Rangers,2
717662,Los Angeles Dodgers,2
717847,Arizona Diamondbacks,1
717847,Washington Nationals,2
717657,Atlanta Braves,1
717660,Cleveland Guardians,1
717658,Minnesota Twins,3
717661,San Diego Padres,3
717659,Kansas City Royals,1
717659,Tampa Bay Rays,1
717654,Miami Marlins,1
717654,Pittsburgh Pirates,2
717652,New York Yankees,1
717652,Seattle Mariners,4
717649,Kansas City Royals,2
717649,Tampa Bay Rays,1
717647,Minnesota Twins,2
717650,Atlanta Braves,5
717650,Cincinnati Reds,4
717651,Baltimore Orioles,1
717651,Seattle Mariners,2
717656,New York Mets,1
717655,Texas Rangers,1
717646,Oakland Athletics,2
717646,Toronto Blue Jays,1
717648,Cleveland Guardians,1
717648,Milwaukee Brewers,2
717645,Boston Red Sox,1
717644,Colorado Rockies,2
717644,Los Angeles Angels,2
717642,San Diego Padres,3
717642,Washington Nationals,1
717643,Houston Astros,2
717643,Los Angeles Dodgers,1
717641,Arizona Diamondbacks,1
717641,San Francisco Giants,1
717637,Chicago Cubs,3
717628,Baltimore Orioles,3
717628,Seattle Mariners,4
717639,Arizona Diamondbacks,1
717639,San Francisco Giants,1
717635,New York Mets,1
717635,Philadelphia Phillies,1
717636,New York Yankees,1
717634,Oakland Athletics,1
717634,Toronto Blue Jays,2
717632,Kansas City Royals,3
717632,Tampa Bay Rays,1
717631,Atlanta Braves,4
717631,Cincinnati Reds,4
717629,Boston Red Sox,1
717629,Chicago White Sox,4
717630,Miami Marlins,1
717626,Houston Astros,1
717626,Los Angeles Dodgers,3
717633,Minnesota Twins,2
717638,Washington Nationals,2
717640,Colorado Rockies,1
717640,Los Angeles Angels,5
717621,Minnesota Twins,1
717627,Baltimore Orioles,1
717627,Seattle Mariners,1
717624,New York Mets,2
717624,Philadelphia Phillies,1
717622,Texas Rangers,1
717617,Oakland Athletics,1
717617,Toronto Blue Jays,2
717619,Tampa Bay Rays,1
717618,Atlanta Braves,1
717618,Cincinnati Reds,1
717620,Miami Marlins,1
717613,Cleveland Guardians,1
717614,Chicago White Sox,2
717616,Colorado Rockies,1
717612,Arizona Diamondbacks,1
717610,San Diego Padres,1
717610,Washington Nationals,1
717615,Houston Astros,2
717615,Los Angeles Dodgers,2
717611,Cincinnati Reds,1
717607,Milwaukee Brewers,1
717609,Atlanta Braves,2
717609,Minnesota Twins,1
717606,Detroit Tigers,2
717606,Texas Rangers,2
717608,Chicago White Sox,1
717608,Los Angeles Angels,1
717602,Seattle Mariners,2
717602,Washington Nationals,2
717601,Cincinnati Reds,2
717603,Pittsburgh Pirates,3
717605,Miami Marlins,2
717597,New York Mets,4
717600,Atlanta Braves,5
717598,Houston Astros,1
717598,St. Louis Cardinals,1
717599,Detroit Tigers,1
717599,Texas Rangers,2
717596,Philadelphia Phillies,2
717594,Los Angeles Dodgers,2
717592,Los Angeles Angels,2
717590,Seattle Mariners,1
717590,Washington Nationals,1
717593,Arizona Diamondbacks,4
717593,Tampa Bay Rays,1
717595,New York Yankees,1
717595,Oakland Athletics,1
717588,Atlanta Braves,1
717587,Seattle Mariners,1
717589,Baltimore Orioles,1
717589,Cincinnati Reds,1
717585,Pittsburgh Pirates,1
717586,San Francisco Giants,1
717583,Boston Red Sox,1
717583,Miami Marlins,2
717581,New York Mets,1
717582,Houston Astros,2
717582,St. Louis Cardinals,3
717580,Detroit Tigers,1
717580,Texas Rangers,3
717584,Chicago Cubs,2
717584,Philadelphia Phillies,3
717577,Cleveland Guardians,3
717578,Los Angeles Dodgers,1
717576,Chicago White Sox,4
717576,Los Angeles Angels,2
717571,San Diego Padres,2
717570,Detroit Tigers,2
717570,Texas Rangers,2
717574,New York Yankees,2
717568,Arizona Diamondbacks,1
717568,Tampa Bay Rays,1
717560,Los Angeles Angels,4
717569,Miami Marlins,1
717564,Toronto Blue Jays,1
717565,Milwaukee Brewers,1
717565,New York Mets,2
717566,Houston Astros,2
717567,Philadelphia Phillies,1
717572,Los Angeles Dodgers,1
717559,Chicago Cubs,2
717559,Cleveland Guardians,1
717557,Cincinnati Reds,3
717557,San Diego Padres,1
717563,Washington Nationals,1
717561,Baltimore Orioles,1
717561,Minnesota Twins,3
717562,Pittsburgh Pirates,2
717555,Boston Red Sox,3
717556,New York Mets,1
717556,San Francisco Giants,2
717558,Atlanta Braves,6
717558,Miami Marlins,2
717554,Houston Astros,1
717554,Texas Rangers,2
717552,Colorado Rockies,1
717552,Detroit Tigers,1
717553,Los Angeles Dodgers,2
717549,Arizona Diamondbacks,1
717549,Los Angeles Angels,1
717551,Chicago White Sox,1
717551,Oakland Athletics,1
717548,Seattle Mariners,1
717548,Tampa Bay Rays,3
717550,St. Louis Cardinals,1
717539,Cincinnati Reds,1
717539,San Diego Padres,3
717545,New York Yankees,1
717545,St. Louis Cardinals,2
717550,St. Louis Cardinals,1
717547,Boston Red Sox,2
717547,Toronto Blue Jays,3
717542,Houston Astros,1
717541,Minnesota Twins,1
717543,Philadelphia Phillies,4
717543,Washington Nationals,1
717540,Milwaukee Brewers,2
717540,Pittsburgh Pirates,1
717538,Chicago White Sox,1
717538,Oakland Athletics,1
717535,New York Mets,3
717536,Atlanta Braves,2
717534,Seattle Mariners,1
717534,Tampa Bay Rays,1
717544,Detroit Tigers,1
717533,Los Angeles Angels,1
717528,Philadelphia Phillies,2
717528,Washington Nationals,2
717532,Atlanta Braves,3
717531,Milwaukee Brewers,1
717531,Pittsburgh Pirates,1
717530,Boston Red Sox,1
717530,Toronto Blue Jays,2
717526,Cincinnati Reds,2
717526,San Diego Padres,2
717524,St. Louis Cardinals,1
717520,Houston Astros,1
717520,Texas Rangers,1
717523,Colorado Rockies,2
717523,Detroit Tigers,5
717522,Arizona Diamondbacks,1
717522,Los Angeles Angels,3
717518,Chicago White Sox,1
717518,Oakland Athletics,1
717519,Seattle Mariners,2
717519,Tampa Bay Rays,2
717521,Chicago Cubs,1
717521,Cleveland Guardians,1
717525,New York Mets,2
717525,San Francisco Giants,1
717514,Houston Astros,4
717514,Texas Rangers,3
717517,Cincinnati Reds,1
717517,Washington Nationals,1
717515,St. Louis Cardinals,1
717513,New York Yankees,3
717512,Atlanta Braves,3
717510,Kansas City Royals,2
717510,Minnesota Twins,1
717505,Los Angeles Angels,1
717505,San Diego Padres,1
717516,San Francisco Giants,2
717506,Los Angeles Dodgers,1
717507,Cincinnati Reds,3
717508,Baltimore Orioles,2
717508,New York Yankees,2
717502,Miami Marlins,2
717501,Texas Rangers,1
717500,Kansas City Royals,1
717500,Minnesota Twins,3
717504,Colorado Rockies,1
717504,Houston Astros,1
717498,Arizona Diamondbacks,3
717498,New York Mets,3
717499,Tampa Bay Rays,1
717503,Chicago Cubs,1
717509,Seattle Mariners,2
717497,Los Angeles Angels,1
717497,San Diego Padres,2
717495,Atlanta Braves,2
717495,Cleveland Guardians,1
717496,Chicago White Sox,1
717496,Toronto Blue Jays,1
717492,Los Angeles Dodgers,4
717492,Pittsburgh Pirates,1
717489,Colorado Rockies,2
717489,Houston Astros,3
717485,Oakland Athletics,3
717491,Philadelphia Phillies,2
717491,Tampa Bay Rays,1
717488,Miami Marlins,1
717488,St. Louis Cardinals,2
717493,Cincinnati Reds,2
717487,Baltimore Orioles,1
717487,New York Yankees,2
717484,Texas Rangers,1
717486,Atlanta Braves,3
717482,Minnesota Twins,2
717483,Milwaukee Brewers,1
717478,Los Angeles Angels,1
717478,San Diego Padres,1
717477,Arizona Diamondbacks,1
717477,New York Mets,1
717479,Los Angeles Dodgers,2
717479,Pittsburgh Pirates,2
717480,Chicago White Sox,1
717480,Toronto Blue Jays,3
717481,Cincinnati Reds,1
717481,Washington Nationals,1
717476,Detroit Tigers,1
717474,Chicago Cubs,2
717474,Milwaukee Brewers,2
717480,Chicago White Sox,1
717480,Toronto Blue Jays,3
717472,Philadelphia Phillies,1
717472,Tampa Bay Rays,1
717473,St. Louis Cardinals,1
717475,Baltimore Orioles,2
717469,Cleveland Guardians,3
717471,Texas Rangers,1
717467,Seattle Mariners,3
717470,New York Mets,3
717462,Los Angeles Dodgers,2
717457,Toronto Blue Jays,2
717460,Atlanta Braves,1
717460,Tampa Bay Rays,1
717466,Miami Marlins,1
717466,Philadelphia Phillies,2
717465,Texas Rangers,2
717465,Washington Nationals,2
717464,Chicago Cubs,1
717463,Cleveland Guardians,1
717461,Oakland Athletics,1
717453,Seattle Mariners,1
717455,Chicago White Sox,2
717455,St. Louis Cardinals,2
717459,Cincinnati Reds,1
717459,Milwaukee Brewers,2
717452,Arizona Diamondbacks,1
717454,New York Mets,1
717454,San Diego Padres,1
717456,Los Angeles Angels,2
717456,Los Angeles Dodgers,5
717448,Colorado Rockies,2
717448,San Francisco Giants,1
717447,Chicago Cubs,1
717447,New York Yankees,3
717445,St. Louis Cardinals,1
717451,Colorado Rockies,1
717451,San Francisco Giants,2
717450,Texas Rangers,2
717450,Washington Nationals,3
717443,Kansas City Royals,1
717449,Boston Red Sox,2
717449,Oakland Athletics,2
717439,Arizona Diamondbacks,1
717438,Miami Marlins,1
717438,Philadelphia Phillies,1
717444,Cincinnati Reds,2
717444,Milwaukee Brewers,2
717440,Houston Astros,1
717441,Atlanta Braves,1
717437,Los Angeles Angels,1
717437,Los Angeles Dodgers,5
717436,New York Mets,1
717436,San Diego Padres,1
717432,Washington Nationals,3
717435,Boston Red Sox,2
717435,Oakland Athletics,1
717433,Chicago Cubs,1
717433,New York Yankees,2
717434,Kansas City Royals,1
717431,Detroit Tigers,1
717431,Toronto Blue Jays,1
717429,Atlanta Braves,1
717429,Tampa Bay Rays,2
717426,Miami Marlins,3
717426,Philadelphia Phillies,1
717430,Houston Astros,1
717428,Baltimore Orioles,6
717428,Minnesota Twins,1
717424,St. Louis Cardinals,1
717422,San Francisco Giants,1
717425,Arizona Diamondbacks,1
717425,Pittsburgh Pirates,1
717423,San Diego Padres,2
717418,Philadelphia Phillies,1
717418,San Diego Padres,4
717416,Pittsburgh Pirates,1
717407,St. Louis Cardinals,3
717417,Baltimore Orioles,3
717417,Miami Marlins,1
717420,Arizona Diamondbacks,1
717420,Toronto Blue Jays,1
717413,Los Angeles Dodgers,1
717414,Atlanta Braves,1
717419,Boston Red Sox,6
717419,Chicago Cubs,2
717415,Cleveland Guardians,2
717415,Texas Rangers,4
717410,Colorado Rockies,3
717410,New York Yankees,1
717405,Los Angeles Angels,1
717409,Minnesota Twins,1
717406,Detroit Tigers,3
717406,Seattle Mariners,1
717411,Kansas City Royals,1
717411,Tampa Bay Rays,3
717408,Philadelphia Phillies,1
717408,San Diego Padres,2
717397,Philadelphia Phillies,2
717411,Kansas City Royals,1
717411,Tampa Bay Rays,3
717407,St. Louis Cardinals,3
717403,Boston Red Sox,1
717403,Chicago Cubs,2
717404,Toronto Blue Jays,2
717398,Pittsburgh Pirates,1
717398,San Francisco Giants,1
717401,Baltimore Orioles,1
717399,Minnesota Twins,2
717399,Oakland Athletics,2
717392,Milwaukee Brewers,3
717400,Los Angeles Dodgers,1
717400,New York Mets,1
717396,St. Louis Cardinals,2
717396,Washington Nationals,2
717395,Atlanta Braves,3
717395,Chicago White Sox,1
717394,Colorado Rockies,1
717394,New York Yankees,1
717389,Houston Astros,2
717389,Los Angeles Angels,4
717390,Detroit Tigers,2
717387,Philadelphia Phillies,2
717387,San Diego Padres,2
717391,Chicago White Sox,2
717384,Baltimore Orioles,1
717383,Cincinnati Reds,1
717383,Milwaukee Brewers,1
717382,Kansas City Royals,3
717382,Tampa Bay Rays,2
717380,St. Louis Cardinals,2
717380,Washington Nationals,1
717376,Boston Red Sox,3
717377,Cleveland Guardians,2
717377,Texas Rangers,1
717378,Colorado Rockies,4
717379,Minnesota Twins,2
717379,Oakland Athletics,1
717373,Seattle Mariners,1
717381,Houston Astros,5
717381,Los Angeles Angels,2
717372,Baltimore Orioles,1
717372,Los Angeles Dodgers,1
717371,Cleveland Guardians,3
717375,Cincinnati Reds,2
717375,San Francisco Giants,2
717374,Miami Marlins,2
717370,Chicago Cubs,2
717370,Washington Nationals,2
717367,Tampa Bay Rays,1
717367,Texas Rangers,1
717369,Los Angeles Angels,2
717365,Minnesota Twins,2
717365,Seattle Mariners,1
717375,Cincinnati Reds,2
717375,San Francisco Giants,2
717363,Philadelphia Phillies,1
717361,Los Angeles Dodgers,1
717364,Cleveland Guardians,3
717364,Pittsburgh Pirates,1
717362,San Diego Padres,4
717360,Cincinnati Reds,4
717360,San Francisco Giants,2
717359,Chicago White Sox,1
717359,New York Mets,4
717358,Arizona Diamondbacks,3
717358,Atlanta Braves,3
717357,St. Louis Cardinals,2
717353,Chicago Cubs,2
717353,Washington Nationals,1
717354,Tampa Bay Rays,2
717354,Texas Rangers,2
