game_pk,team,hrs
718610,San Diego Padres,1
718605,Chicago White Sox,1
718604,Cleveland Guardians,1
718604,New York Yankees,1
718606,Chicago Cubs,1
718606,Seattle Mariners,2
718607,Colorado Rockies,1
718607,St. Louis Cardinals,3
718598,Arizona Diamondbacks,2
718609,Miami Marlins,1
718599,Oakland Athletics,2
718600,Boston Red Sox,1
718600,Tampa Bay Rays,1
718603,Detroit Tigers,2
718601,Atlanta Braves,1
718595,Kansas City Royals,1
718595,Texas Rangers,1
718612,Los Angeles Dodgers,3
718612,San Francisco Giants,1
718596,Baltimore Orioles,2
718596,Oakland Athletics,2
718594,Boston Red Sox,1
718594,Tampa Bay Rays,2
718597,Philadelphia Phillies,1
718590,Minnesota Twins,4
718590,New York Yankees,2
718591,Pittsburgh Pirates,2
718589,Milwaukee Brewers,2
718589,San Diego Padres,2
718585,Detroit Tigers,1
718585,San Francisco Giants,2
718586,Philadelphia Phillies,1
718592,Cleveland Guardians,1
718592,Washington Nationals,1
718588,Minnesota Twins,2
718588,New York Yankees,3
718587,Tampa Bay Rays,2
718587,Toronto Blue Jays,1
718580,Boston Red Sox,1
718583,Chicago White Sox,1
718581,Houston Astros,2
718581,Texas Rangers,1
718579,Atlanta Braves,5
718578,New York Mets,1
718578,Oakland Athletics,3
718574,Milwaukee Brewers,3
718574,San Diego Padres,1
718575,Chicago Cubs,5
718575,Los Angeles Dodgers,2
718577,Colorado Rockies,1
718577,Seattle Mariners,1
718572,New York Yankees,2
718571,Detroit Tigers,1
718571,San Francisco Giants,2
718570,Baltimore Orioles,2
718570,Chicago White Sox,1
718568,Pittsburgh Pirates,2
718569,Tampa Bay Rays,1
718573,Cleveland Guardians,1
718560,San Diego Padres,2
718565,New York Mets,2
718576,Boston Red Sox,2
718576,Los Angeles Angels,1
718566,Cincinnati Reds,2
718563,Atlanta Braves,1
718567,Miami Marlins,1
718564,Chicago Cubs,1
718561,Seattle Mariners,1
718559,Boston Red Sox,1
718555,Washington Nationals,2
718557,New York Yankees,1
718556,Tampa Bay Rays,1
718554,Philadelphia Phillies,2
718550,Arizona Diamondbacks,1
718551,Atlanta Braves,1
718551,Kansas City Royals,1
718553,Chicago White Sox,2
718548,St. Louis Cardinals,1
718546,New York Mets,3
718547,Chicago Cubs,2
718547,Los Angeles Dodgers,1
718552,Texas Rangers,1
718540,Los Angeles Angels,1
718542,Cincinnati Reds,1
718542,Tampa Bay Rays,1
718544,Miami Marlins,1
718539,Texas Rangers,2
718538,Arizona Diamondbacks,2
718538,St. Louis Cardinals,1
718537,Houston Astros,2
718537,Toronto Blue Jays,2
718535,Colorado Rockies,1
718535,Pittsburgh Pirates,2
718536,Chicago Cubs,2
718533,Atlanta Braves,1
718534,Milwaukee Brewers,1
718534,Seattle Mariners,2
718532,Los Angeles Dodgers,3
718532,New York Mets,1
718541,Detroit Tigers,1
718543,Chicago White Sox,1
718530,Cleveland Guardians,1
718530,Detroit Tigers,1
718541,Detroit Tigers,1
718525,Philadelphia Phillies,1
718543,Chicago White Sox,1
718526,Tampa Bay Rays,4
718528,Miami Marlins,1
718528,San Francisco Giants,1
718529,Los Angeles Angels,1
718524,Minnesota Twins,1
718522,Texas Rangers,2
718527,Arizona Diamondbacks,1
718527,St. Louis Cardinals,3
718520,Toronto Blue Jays,2
718521,Colorado Rockies,1
718521,Pittsburgh Pirates,2
718519,Atlanta Braves,3
718517,Milwaukee Brewers,2
718516,Los Angeles Dodgers,2
718515,Tampa Bay Rays,1
718513,Cleveland Guardians,1
718513,Detroit Tigers,2
718511,San Francisco Giants,2
718512,Arizona Diamondbacks,2
718512,St. Louis Cardinals,2
718514,Kansas City Royals,1
718514,Texas Rangers,1
718510,Chicago White Sox,1
718510,Philadelphia Phillies,2
718508,Los Angeles Dodgers,1
718508,New York Mets,1
718509,Pittsburgh Pirates,2
718506,Chicago Cubs,1
718507,San Diego Padres,1
718502,Seattle Mariners,1
718518,Baltimore Orioles,1
718504,New York Yankees,1
718505,Boston Red Sox,1
718505,Minnesota Twins,3
718501,Houston Astros,1
718497,Boston Red Sox,2
718497,Minnesota Twins,1
718500,Pittsburgh Pirates,2
718498,Colorado Rockies,1
718499,Chicago Cubs,1
718499,Los Angeles Dodgers,3
718494,San Diego Padres,2
718503,New York Mets,3
718503,San Francisco Giants,2
718491,Chicago Cubs,4
718486,Chicago White Sox,1
718486,Tampa Bay Rays,3
718495,Baltimore Orioles,1
718493,Colorado Rockies,1
718493,Philadelphia Phillies,1
718487,New York Yankees,1
718487,Toronto Blue Jays,2
718489,Houston Astros,1
718490,Oakland Athletics,2
718490,Texas Rangers,1
718482,Minnesota Twins,1
718482,Washington Nationals,1
718483,Boston Red Sox,1
718483,Milwaukee Brewers,1
718485,Los Angeles Angels,1
718481,Seattle Mariners,1
718480,New York Mets,1
718476,New York Yankees,1
718476,Toronto Blue Jays,1
