game_pk,date,batting_team,game_third,runs
718780,2023-03-30,Atlanta Braves,Innings 1-3,3
718780,2023-03-30,Atlanta Braves,Innings 4-6,1
718780,2023-03-30,Atlanta Braves,Innings 7+,3
718780,2023-03-30,Washington Nationals,Innings 1-3,1
718780,2023-03-30,Washington Nationals,Innings 4-6,1
718781,2023-03-30,New York Yankees,Innings 1-3,1
718781,2023-03-30,New York Yankees,Innings 4-6,2
718781,2023-03-30,New York Yankees,Innings 7+,2
718782,2023-03-30,Baltimore Orioles,Innings 1-3,1
718782,2023-03-30,Baltimore Orioles,Innings 4-6,6
718782,2023-03-30,Baltimore Orioles,Innings 7+,2
718782,2023-03-30,Boston Red Sox,Innings 1-3,1
718782,2023-03-30,Boston Red Sox,Innings 4-6,3
718782,2023-03-30,Boston Red Sox,Innings 7+,5
718777,2023-03-30,Chicago Cubs,Innings 1-3,4
718776,2023-03-30,Tampa Bay Rays,Innings 1-3,1
718776,2023-03-30,Tampa Bay Rays,Innings 4-6,2
718776,2023-03-30,Tampa Bay Rays,Innings 7+,1
718779,2023-03-30,Philadelphia Phillies,Innings 1-3,3
718779,2023-03-30,Philadelphia Phillies,Innings 4-6,2
718779,2023-03-30,Philadelphia Phillies,Innings 7+,1
718779,2023-03-30,Texas Rangers,Innings 4-6,10
718773,2023-03-30,Cincinnati Reds,Innings 1-3,1
718773,2023-03-30,Cincinnati Reds,Innings 4-6,3
718773,2023-03-30,Pittsburgh Pirates,Innings 1-3,1
718773,2023-03-30,Pittsburgh Pirates,Innings 4-6,2
718773,2023-03-30,Pittsburgh Pirates,Innings 7+,1
718772,2023-03-30,St. Louis Cardinals,Innings 1-3,3
718772,2023-03-30,St. Louis Cardinals,Innings 4-6,3
718772,2023-03-30,St. Louis Cardinals,Innings 7+,3
718772,2023-03-30,Toronto Blue Jays,Innings 1-3,4
718772,2023-03-30,Toronto Blue Jays,Innings 4-6,1
718772,2023-03-30,Toronto Blue Jays,Innings 7+,5
718775,2023-03-30,Minnesota Twins,Innings 4-6,2
718774,2023-03-30,Miami Marlins,Innings 4-6,3
718774,2023-03-30,New York Mets,Innings 1-3,1
718774,2023-03-30,New York Mets,Innings 4-6,2
718774,2023-03-30,New York Mets,Innings 7+,2
718768,2023-03-30,Chicago White Sox,Innings 7+,3
718768,2023-03-30,Houston Astros,Innings 7+,1
718778,2023-03-31,Colorado Rockies,Innings 1-3,1
718778,2023-03-31,Colorado Rockies,Innings 4-6,4
718778,2023-03-31,Colorado Rockies,Innings 7+,2
718778,2023-03-31,San Diego Padres,Innings 1-3,1
718778,2023-03-31,San Diego Padres,Innings 4-6,1
718769,2023-03-31,Los Angeles Angels,Innings 4-6,1
718769,2023-03-31,Oakland Athletics,Innings 7+,2
718770,2023-03-31,Arizona Diamondbacks,Innings 1-3,2
718770,2023-03-31,Los Angeles Dodgers,Innings 1-3,2
718770,2023-03-31,Los Angeles Dodgers,Innings 4-6,5
718770,2023-03-31,Los Angeles Dodgers,Innings 7+,1
718767,2023-03-31,Seattle Mariners,Innings 7+,3
718771,2023-03-31,Miami Marlins,Innings 1-3,1
718771,2023-03-31,Miami Marlins,Innings 7+,1
718771,2023-03-31,New York Mets,Innings 7+,1
718764,2023-04-01,Chicago White Sox,Innings 1-3,1
718764,2023-04-01,Chicago White Sox,Innings 4-6,2
718764,2023-04-01,Houston Astros,Innings 4-6,2
718764,2023-04-01,Houston Astros,Innings 7+,4
718766,2023-04-01,Colorado Rockies,Innings 1-3,2
718766,2023-04-01,Colorado Rockies,Innings 4-6,2
718766,2023-04-01,San Diego Padres,Innings 7+,1
718765,2023-04-01,Arizona Diamondbacks,Innings 7+,2
718765,2023-04-01,Los Angeles Dodgers,Innings 7+,1
718763,2023-04-01,Cleveland Guardians,Innings 1-3,3
718763,2023-04-01,Cleveland Guardians,Innings 4-6,5
718763,2023-04-01,Cleveland Guardians,Innings 7+,1
718763,2023-04-01,Seattle Mariners,Innings 1-3,3
718763,2023-04-01,Seattle Mariners,Innings 4-6,1
718760,2023-04-01,Chicago White Sox,Innings 1-3,1
718760,2023-04-01,Chicago White Sox,Innings 4-6,2
718760,2023-04-01,Chicago White Sox,Innings 7+,1
718760,2023-04-01,Houston Astros,Innings 1-3,2
718760,2023-04-01,Houston Astros,Innings 4-6,1
718760,2023-04-01,Houston Astros,Innings 7+,3
718759,2023-04-01,St. Louis Cardinals,Innings 1-3,3
718759,2023-04-01,St. Louis Cardinals,Innings 7+,1
718758,2023-04-01,Chicago Cubs,Innings 4-6,1
718758,2023-04-01,Milwaukee Brewers,Innings 7+,3
718752,2023-04-01,Philadelphia Phillies,Innings 4-6,3
718752,2023-04-01,Texas Rangers,Innings 1-3,4
718752,2023-04-01,Texas Rangers,Innings 4-6,3
718752,2023-04-01,Texas Rangers,Innings 7+,9
718753,2023-04-01,Atlanta Braves,Innings 1-3,4
718753,2023-04-01,Atlanta Braves,Innings 4-6,1
718753,2023-04-01,Atlanta Braves,Innings 7+,2
718753,2023-04-01,Washington Nationals,Innings 7+,1
718762,2023-04-01,New York Yankees,Innings 1-3,2
718762,2023-04-01,New York Yankees,Innings 4-6,1
718762,2023-04-01,New York Yankees,Innings 7+,2
718762,2023-04-01,San Francisco Giants,Innings 4-6,5
718762,2023-04-01,San Francisco Giants,Innings 7+,2
718757,2023-04-01,Los Angeles Angels,Innings 1-3,11
718757,2023-04-01,Los Angeles Angels,Innings 4-6,1
718757,2023-04-01,Los Angeles Angels,Innings 7+,1
718757,2023-04-01,Oakland Athletics,Innings 4-6,1
718761,2023-04-01,Baltimore Orioles,Innings 1-3,7
718761,2023-04-01,Baltimore Orioles,Innings 4-6,1
718761,2023-04-01,Boston Red Sox,Innings 1-3,4
718761,2023-04-01,Boston Red Sox,Innings 7+,4
718756,2023-04-01,Cincinnati Reds,Innings 1-3,3
718756,2023-04-01,Cincinnati Reds,Innings 4-6,3
718756,2023-04-01,Pittsburgh Pirates,Innings 1-3,2
718754,2023-04-01,Detroit Tigers,Innings 4-6,2
718754,2023-04-01,Tampa Bay Rays,Innings 1-3,8
718754,2023-04-01,Tampa Bay Rays,Innings 4-6,2
718754,2023-04-01,Tampa Bay Rays,Innings 7+,2
718751,2023-04-01,Minnesota Twins,Innings 1-3,1
718751,2023-04-01,Minnesota Twins,Innings 4-6,1
718755,2023-04-01,Miami Marlins,Innings 1-3,2
718755,2023-04-01,New York Mets,Innings 1-3,1
718755,2023-04-01,New York Mets,Innings 4-6,3
718755,2023-04-01,New York Mets,Innings 7+,2
718750,2023-04-02,Colorado Rockies,Innings 4-6,4
718750,2023-04-02,San Diego Padres,Innings 1-3,4
718750,2023-04-02,San Diego Padres,Innings 4-6,2
718750,2023-04-02,San Diego Padres,Innings 7+,2
718749,2023-04-02,Arizona Diamondbacks,Innings 1-3,1
718749,2023-04-02,Los Angeles Dodgers,Innings 1-3,4
718749,2023-04-02,Los Angeles Dodgers,Innings 4-6,3
718749,2023-04-02,Los Angeles Dodgers,Innings 7+,2
718746,2023-04-02,Cleveland Guardians,Innings 4-6,1
718746,2023-04-02,Cleveland Guardians,Innings 7+,1
718742,2023-04-02,Detroit Tigers,Innings 7+,1
718742,2023-04-02,Tampa Bay Rays,Innings 4-6,4
718748,2023-04-02,Baltimore Orioles,Innings 4-6,3
718748,2023-04-02,Baltimore Orioles,Innings 7+,2
718748,2023-04-02,Boston Red Sox,Innings 1-3,3
718748,2023-04-02,Boston Red Sox,Innings 4-6,3
718748,2023-04-02,Boston Red Sox,Innings 7+,3
718743,2023-04-02,Atlanta Braves,Innings 4-6,1
718743,2023-04-02,Washington Nationals,Innings 1-3,4
718747,2023-04-02,New York Yankees,Innings 1-3,3
718747,2023-04-02,New York Yankees,Innings 4-6,1
718747,2023-04-02,New York Yankees,Innings 7+,1
718744,2023-04-02,Cincinnati Reds,Innings 1-3,2
718744,2023-04-02,Cincinnati Reds,Innings 4-6,1
718744,2023-04-02,Pittsburgh Pirates,Innings 4-6,1
718741,2023-04-02,Miami Marlins,Innings 1-3,1
718741,2023-04-02,New York Mets,Innings 1-3,2
718741,2023-04-02,New York Mets,Innings 4-6,2
718741,2023-04-02,New York Mets,Innings 7+,1
718745,2023-04-02,Kansas City Royals,Innings 1-3,1
718745,2023-04-02,Kansas City Royals,Innings 7+,3
718745,2023-04-02,Minnesota Twins,Innings 1-3,1
718745,2023-04-02,Minnesota Twins,Innings 4-6,2
718745,2023-04-02,Minnesota Twins,Innings 7+,4
718740,2023-04-02,Chicago White Sox,Innings 4-6,3
718740,2023-04-02,Chicago White Sox,Innings 7+,3
718740,2023-04-02,Houston Astros,Innings 7+,2
718737,2023-04-02,St. Louis Cardinals,Innings 1-3,7
718737,2023-04-02,St. Louis Cardinals,Innings 4-6,2
718737,2023-04-02,Toronto Blue Jays,Innings 1-3,3
718737,2023-04-02,Toronto Blue Jays,Innings 4-6,1
718738,2023-04-02,Chicago Cubs,Innings 1-3,2
718738,2023-04-02,Chicago Cubs,Innings 7+,3
718738,2023-04-02,Milwaukee Brewers,Innings 1-3,2
718738,2023-04-02,Milwaukee Brewers,Innings 4-6,6
718738,2023-04-02,Milwaukee Brewers,Innings 7+,1
718734,2023-04-02,Los Angeles Angels,Innings 4-6,6
718736,2023-04-02,Arizona Diamondbacks,Innings 4-6,1
718736,2023-04-02,Arizona Diamondbacks,Innings 7+,1
718736,2023-04-02,Los Angeles Dodgers,Innings 1-3,1
718733,2023-04-02,Colorado Rockies,Innings 7+,1
718733,2023-04-02,San Diego Padres,Innings 1-3,3
718735,2023-04-02,Cleveland Guardians,Innings 1-3,3
718735,2023-04-02,Cleveland Guardians,Innings 4-6,1
718735,2023-04-02,Cleveland Guardians,Innings 7+,2
718735,2023-04-02,Seattle Mariners,Innings 1-3,4
718735,2023-04-02,Seattle Mariners,Innings 4-6,1
718739,2023-04-02,Philadelphia Phillies,Innings 4-6,1
718739,2023-04-02,Texas Rangers,Innings 1-3,1
718739,2023-04-02,Texas Rangers,Innings 4-6,1
718731,2023-04-03,Milwaukee Brewers,Innings 1-3,1
718731,2023-04-03,Milwaukee Brewers,Innings 4-6,8
718730,2023-04-03,Chicago White Sox,Innings 7+,3
718730,2023-04-03,San Francisco Giants,Innings 1-3,3
718730,2023-04-03,San Francisco Giants,Innings 4-6,4
718730,2023-04-03,San Francisco Giants,Innings 7+,4
718728,2023-04-03,Chicago Cubs,Innings 1-3,3
718728,2023-04-03,Chicago Cubs,Innings 4-6,3
718728,2023-04-03,Cincinnati Reds,Innings 1-3,4
718728,2023-04-03,Cincinnati Reds,Innings 4-6,3
718729,2023-04-03,Miami Marlins,Innings 4-6,1
718729,2023-04-03,Minnesota Twins,Innings 1-3,6
718729,2023-04-03,Minnesota Twins,Innings 4-6,2
718729,2023-04-03,Minnesota Twins,Innings 7+,3
718732,2023-04-03,Tampa Bay Rays,Innings 1-3,3
718732,2023-04-03,Tampa Bay Rays,Innings 4-6,1
718732,2023-04-03,Tampa Bay Rays,Innings 7+,2
718732,2023-04-03,Washington Nationals,Innings 7+,2
718725,2023-04-03,New York Yankees,Innings 1-3,3
718725,2023-04-03,New York Yankees,Innings 4-6,5
718725,2023-04-03,Philadelphia Phillies,Innings 4-6,1
718724,2023-04-03,Boston Red Sox,Innings 1-3,5
718724,2023-04-03,Boston Red Sox,Innings 4-6,1
718724,2023-04-03,Pittsburgh Pirates,Innings 1-3,5
718724,2023-04-03,Pittsburgh Pirates,Innings 4-6,2
718719,2023-04-03,Kansas City Royals,Innings 1-3,3
718719,2023-04-03,Kansas City Royals,Innings 4-6,6
718719,2023-04-03,Toronto Blue Jays,Innings 4-6,1
718719,2023-04-03,Toronto Blue Jays,Innings 7+,3
718727,2023-04-03,Atlanta Braves,Innings 1-3,6
718727,2023-04-03,Atlanta Braves,Innings 7+,2
718727,2023-04-03,St. Louis Cardinals,Innings 1-3,1
718727,2023-04-03,St. Louis Cardinals,Innings 4-6,2
718727,2023-04-03,St. Louis Cardinals,Innings 7+,1
718726,2023-04-04,Baltimore Orioles,Innings 4-6,2
718723,2023-04-04,Detroit Tigers,Innings 1-3,2
718723,2023-04-04,Detroit Tigers,Innings 4-6,2
718723,2023-04-04,Detroit Tigers,Innings 7+,3
718723,2023-04-04,Houston Astros,Innings 4-6,4
718723,2023-04-04,Houston Astros,Innings 7+,2
718721,2023-04-04,Cleveland Guardians,Innings 1-3,2
718721,2023-04-04,Cleveland Guardians,Innings 4-6,5
718721,2023-04-04,Cleveland Guardians,Innings 7+,4
718721,2023-04-04,Oakland Athletics,Innings 1-3,6
718721,2023-04-04,Oakland Athletics,Innings 4-6,2
718721,2023-04-04,Oakland Athletics,Innings 7+,3
718722,2023-04-04,Arizona Diamondbacks,Innings 1-3,2
718722,2023-04-04,Arizona Diamondbacks,Innings 7+,2
718722,2023-04-04,San Diego Padres,Innings 1-3,3
718722,2023-04-04,San Diego Padres,Innings 7+,2
718720,2023-04-04,Los Angeles Angels,Innings 1-3,1
718720,2023-04-04,Los Angeles Angels,Innings 4-6,3
718720,2023-04-04,Los Angeles Angels,Innings 7+,3
718720,2023-04-04,Seattle Mariners,Innings 1-3,2
718720,2023-04-04,Seattle Mariners,Innings 4-6,1
718718,2023-04-04,Colorado Rockies,Innings 4-6,4
718718,2023-04-04,Los Angeles Dodgers,Innings 1-3,2
718718,2023-04-04,Los Angeles Dodgers,Innings 4-6,7
718718,2023-04-04,Los Angeles Dodgers,Innings 7+,4
718717,2023-04-04,Arizona Diamondbacks,Innings 4-6,4
718717,2023-04-04,Arizona Diamondbacks,Innings 7+,3
718717,2023-04-04,San Diego Padres,Innings 1-3,1
718717,2023-04-04,San Diego Padres,Innings 4-6,4
718717,2023-04-04,San Diego Padres,Innings 7+,1
718716,2023-04-04,Chicago Cubs,Innings 1-3,1
718716,2023-04-04,Chicago Cubs,Innings 4-6,1
718716,2023-04-04,Chicago Cubs,Innings 7+,10
718716,2023-04-04,Cincinnati Reds,Innings 1-3,2
718716,2023-04-04,Cincinnati Reds,Innings 4-6,1
718716,2023-04-04,Cincinnati Reds,Innings 7+,2
718714,2023-04-04,Miami Marlins,Innings 1-3,1
718715,2023-04-04,Tampa Bay Rays,Innings 1-3,4
718715,2023-04-04,Tampa Bay Rays,Innings 7+,6
718715,2023-04-04,Washington Nationals,Innings 1-3,4
718715,2023-04-04,Washington Nationals,Innings 4-6,1
718715,2023-04-04,Washington Nationals,Innings 7+,1
718710,2023-04-04,New York Yankees,Innings 7+,1
718710,2023-04-04,Philadelphia Phillies,Innings 1-3,2
718710,2023-04-04,Philadelphia Phillies,Innings 4-6,2
718713,2023-04-04,Boston Red Sox,Innings 1-3,1
718713,2023-04-04,Pittsburgh Pirates,Innings 1-3,3
718713,2023-04-04,Pittsburgh Pirates,Innings 7+,1
718708,2023-04-04,Kansas City Royals,Innings 1-3,1
718708,2023-04-04,Toronto Blue Jays,Innings 1-3,1
718708,2023-04-04,Toronto Blue Jays,Innings 4-6,1
718708,2023-04-04,Toronto Blue Jays,Innings 7+,1
718712,2023-04-04,Milwaukee Brewers,Innings 1-3,2
718712,2023-04-04,Milwaukee Brewers,Innings 4-6,3
718712,2023-04-04,Milwaukee Brewers,Innings 7+,4
718711,2023-04-04,Atlanta Braves,Innings 1-3,4
718711,2023-04-04,St. Louis Cardinals,Innings 4-6,1
718709,2023-04-05,Baltimore Orioles,Innings 1-3,7
718709,2023-04-05,Texas Rangers,Innings 1-3,1
718709,2023-04-05,Texas Rangers,Innings 4-6,1
718705,2023-04-05,Detroit Tigers,Innings 1-3,1
718705,2023-04-05,Detroit Tigers,Innings 4-6,2
718705,2023-04-05,Detroit Tigers,Innings 7+,3
718705,2023-04-05,Houston Astros,Innings 1-3,1
718705,2023-04-05,Houston Astros,Innings 4-6,1
718705,2023-04-05,Houston Astros,Innings 7+,1
718707,2023-04-05,Cleveland Guardians,Innings 4-6,3
718707,2023-04-05,Oakland Athletics,Innings 1-3,2
718707,2023-04-05,Oakland Athletics,Innings 4-6,1
718707,2023-04-05,Oakland Athletics,Innings 7+,1
718706,2023-04-05,Los Angeles Angels,Innings 7+,2
718706,2023-04-05,Seattle Mariners,Innings 4-6,7
718706,2023-04-05,Seattle Mariners,Innings 7+,3
718703,2023-04-05,Colorado Rockies,Innings 7+,2
718703,2023-04-05,Los Angeles Dodgers,Innings 1-3,3
718703,2023-04-05,Los Angeles Dodgers,Innings 4-6,1
718703,2023-04-05,Los Angeles Dodgers,Innings 7+,1
718704,2023-04-05,Tampa Bay Rays,Innings 1-3,3
718704,2023-04-05,Tampa Bay Rays,Innings 4-6,3
718704,2023-04-05,Tampa Bay Rays,Innings 7+,1
718704,2023-04-05,Washington Nationals,Innings 1-3,1
718704,2023-04-05,Washington Nationals,Innings 4-6,1
718699,2023-04-05,New York Yankees,Innings 1-3,1
718699,2023-04-05,New York Yankees,Innings 4-6,1
718699,2023-04-05,New York Yankees,Innings 7+,2
718699,2023-04-05,Philadelphia Phillies,Innings 7+,2
718701,2023-04-05,Miami Marlins,Innings 1-3,1
718701,2023-04-05,Miami Marlins,Innings 7+,4
718701,2023-04-05,Minnesota Twins,Innings 7+,1
718697,2023-04-05,Atlanta Braves,Innings 1-3,4
718697,2023-04-05,Atlanta Braves,Innings 4-6,1
718697,2023-04-05,St. Louis Cardinals,Innings 7+,2
718702,2023-04-05,Boston Red Sox,Innings 7+,1
718702,2023-04-05,Pittsburgh Pirates,Innings 4-6,2
718702,2023-04-05,Pittsburgh Pirates,Innings 7+,2
718698,2023-04-05,Milwaukee Brewers,Innings 1-3,4
718698,2023-04-05,Milwaukee Brewers,Innings 4-6,2
718698,2023-04-05,Milwaukee Brewers,Innings 7+,1
718698,2023-04-05,New York Mets,Innings 1-3,4
718698,2023-04-05,New York Mets,Innings 4-6,2
718694,2023-04-05,Baltimore Orioles,Innings 4-6,2
718694,2023-04-05,Texas Rangers,Innings 1-3,2
718694,2023-04-05,Texas Rangers,Innings 4-6,2
718694,2023-04-05,Texas Rangers,Innings 7+,1
718696,2023-04-05,Detroit Tigers,Innings 1-3,1
718696,2023-04-05,Detroit Tigers,Innings 7+,1
718696,2023-04-05,Houston Astros,Innings 1-3,2
718696,2023-04-05,Houston Astros,Innings 4-6,2
718696,2023-04-05,Houston Astros,Innings 7+,4
718695,2023-04-05,Chicago White Sox,Innings 1-3,2
718695,2023-04-05,Chicago White Sox,Innings 4-6,2
718695,2023-04-05,Chicago White Sox,Innings 7+,3
718695,2023-04-05,San Francisco Giants,Innings 1-3,1
718695,2023-04-05,San Francisco Giants,Innings 7+,2
718689,2023-04-05,Cleveland Guardians,Innings 4-6,2
718689,2023-04-05,Cleveland Guardians,Innings 7+,4
718689,2023-04-05,Oakland Athletics,Innings 7+,4
718691,2023-04-05,Los Angeles Angels,Innings 1-3,2
718691,2023-04-05,Los Angeles Angels,Innings 7+,2
718691,2023-04-05,Seattle Mariners,Innings 1-3,1
718691,2023-04-05,Seattle Mariners,Innings 7+,2
718692,2023-04-05,Toronto Blue Jays,Innings 4-6,1
718692,2023-04-05,Toronto Blue Jays,Innings 7+,2
718690,2023-04-06,Boston Red Sox,Innings 1-3,1
718690,2023-04-06,Boston Red Sox,Innings 4-6,5
718690,2023-04-06,Detroit Tigers,Innings 1-3,3
718686,2023-04-06,Kansas City Royals,Innings 7+,3
718686,2023-04-06,Toronto Blue Jays,Innings 1-3,3
718686,2023-04-06,Toronto Blue Jays,Innings 4-6,2
718686,2023-04-06,Toronto Blue Jays,Innings 7+,1
718687,2023-04-06,Chicago White Sox,Innings 1-3,2
718687,2023-04-06,Chicago White Sox,Innings 4-6,1
718687,2023-04-06,Chicago White Sox,Innings 7+,3
718687,2023-04-06,San Francisco Giants,Innings 1-3,4
718687,2023-04-06,San Francisco Giants,Innings 4-6,6
718687,2023-04-06,San Francisco Giants,Innings 7+,5
718682,2023-04-06,Colorado Rockies,Innings 4-6,1
718681,2023-04-06,Atlanta Braves,Innings 1-3,2
718681,2023-04-06,Atlanta Braves,Innings 4-6,2
718681,2023-04-06,Atlanta Braves,Innings 7+,3
718681,2023-04-06,San Diego Padres,Innings 4-6,4
718681,2023-04-06,San Diego Padres,Innings 7+,1
718683,2023-04-07,Arizona Diamondbacks,Innings 4-6,1
718683,2023-04-07,Los Angeles Dodgers,Innings 1-3,3
718683,2023-04-07,Los Angeles Dodgers,Innings 4-6,1
718683,2023-04-07,Los Angeles Dodgers,Innings 7+,1
718693,2023-04-07,Miami Marlins,Innings 7+,3
718693,2023-04-07,New York Mets,Innings 1-3,2
718693,2023-04-07,New York Mets,Innings 4-6,2
718693,2023-04-07,New York Mets,Innings 7+,5
718685,2023-04-07,Cincinnati Reds,Innings 4-6,2
718685,2023-04-07,Philadelphia Phillies,Innings 1-3,1
718685,2023-04-07,Philadelphia Phillies,Innings 4-6,1
718685,2023-04-07,Philadelphia Phillies,Innings 7+,3
718688,2023-04-07,Baltimore Orioles,Innings 1-3,4
718688,2023-04-07,Baltimore Orioles,Innings 4-6,1
718688,2023-04-07,Baltimore Orioles,Innings 7+,1
718688,2023-04-07,New York Yankees,Innings 4-6,5
718688,2023-04-07,New York Yankees,Innings 7+,1
718684,2023-04-07,Houston Astros,Innings 1-3,1
718684,2023-04-07,Houston Astros,Innings 7+,1
718684,2023-04-07,Minnesota Twins,Innings 7+,2
718693,2023-04-07,Miami Marlins,Innings 7+,3
718693,2023-04-07,New York Mets,Innings 1-3,2
718693,2023-04-07,New York Mets,Innings 4-6,2
718693,2023-04-07,New York Mets,Innings 7+,5
718675,2023-04-07,Chicago Cubs,Innings 4-6,2
718685,2023-04-07,Cincinnati Reds,Innings 4-6,2
718685,2023-04-07,Philadelphia Phillies,Innings 1-3,1
718685,2023-04-07,Philadelphia Phillies,Innings 4-6,1
718685,2023-04-07,Philadelphia Phillies,Innings 7+,3
718688,2023-04-07,Baltimore Orioles,Innings 1-3,4
718688,2023-04-07,Baltimore Orioles,Innings 4-6,1
718688,2023-04-07,Baltimore Orioles,Innings 7+,1
718688,2023-04-07,New York Yankees,Innings 4-6,5
718688,2023-04-07,New York Yankees,Innings 7+,1
718677,2023-04-07,Cleveland Guardians,Innings 1-3,1
718677,2023-04-07,Cleveland Guardians,Innings 4-6,1
718677,2023-04-07,Seattle Mariners,Innings 4-6,5
718684,2023-04-07,Houston Astros,Innings 1-3,1
718684,2023-04-07,Houston Astros,Innings 7+,1
718684,2023-04-07,Minnesota Twins,Innings 7+,2
718679,2023-04-07,Chicago White Sox,Innings 1-3,5
718679,2023-04-07,Chicago White Sox,Innings 4-6,2
718679,2023-04-07,Chicago White Sox,Innings 7+,2
718679,2023-04-07,Pittsburgh Pirates,Innings 1-3,3
718679,2023-04-07,Pittsburgh Pirates,Innings 4-6,9
718679,2023-04-07,Pittsburgh Pirates,Innings 7+,1
718680,2023-04-07,Kansas City Royals,Innings 1-3,1
718680,2023-04-07,Kansas City Royals,Innings 4-6,1
718680,2023-04-07,Kansas City Royals,Innings 7+,1
718680,2023-04-07,San Francisco Giants,Innings 1-3,1
718678,2023-04-07,Oakland Athletics,Innings 1-3,2
718678,2023-04-07,Oakland Athletics,Innings 4-6,1
718678,2023-04-07,Oakland Athletics,Innings 7+,2
718678,2023-04-07,Tampa Bay Rays,Innings 1-3,7
718678,2023-04-07,Tampa Bay Rays,Innings 7+,1
718676,2023-04-07,Atlanta Braves,Innings 1-3,2
718676,2023-04-07,Atlanta Braves,Innings 4-6,1
718676,2023-04-07,San Diego Padres,Innings 1-3,3
718676,2023-04-07,San Diego Padres,Innings 4-6,2
718674,2023-04-08,Milwaukee Brewers,Innings 1-3,2
718674,2023-04-08,Milwaukee Brewers,Innings 4-6,1
718674,2023-04-08,Milwaukee Brewers,Innings 7+,1
718673,2023-04-08,Colorado Rockies,Innings 1-3,1
718673,2023-04-08,Colorado Rockies,Innings 4-6,1
718673,2023-04-08,Colorado Rockies,Innings 7+,3
718673,2023-04-08,Washington Nationals,Innings 1-3,6
718673,2023-04-08,Washington Nationals,Innings 4-6,2
718673,2023-04-08,Washington Nationals,Innings 7+,2
718670,2023-04-08,Los Angeles Angels,Innings 1-3,2
718670,2023-04-08,Los Angeles Angels,Innings 4-6,1
718670,2023-04-08,Toronto Blue Jays,Innings 4-6,1
718670,2023-04-08,Toronto Blue Jays,Innings 7+,3
718671,2023-04-08,Arizona Diamondbacks,Innings 1-3,2
718671,2023-04-08,Arizona Diamondbacks,Innings 4-6,2
718671,2023-04-08,Arizona Diamondbacks,Innings 7+,2
718671,2023-04-08,Los Angeles Dodgers,Innings 1-3,2
718671,2023-04-08,Los Angeles Dodgers,Innings 4-6,1
718666,2023-04-08,Houston Astros,Innings 1-3,3
718666,2023-04-08,Houston Astros,Innings 7+,2
718666,2023-04-08,Minnesota Twins,Innings 1-3,4
718666,2023-04-08,Minnesota Twins,Innings 4-6,1
718666,2023-04-08,Minnesota Twins,Innings 7+,4
718672,2023-04-08,Kansas City Royals,Innings 4-6,1
718672,2023-04-08,Kansas City Royals,Innings 7+,4
718672,2023-04-08,San Francisco Giants,Innings 4-6,5
718669,2023-04-08,Chicago Cubs,Innings 1-3,2
718669,2023-04-08,Chicago Cubs,Innings 4-6,3
718669,2023-04-08,Chicago Cubs,Innings 7+,5
718669,2023-04-08,Texas Rangers,Innings 1-3,1
718669,2023-04-08,Texas Rangers,Innings 7+,2
718668,2023-04-08,Cincinnati Reds,Innings 1-3,1
718668,2023-04-08,Cincinnati Reds,Innings 7+,1
718668,2023-04-08,Philadelphia Phillies,Innings 7+,3
718667,2023-04-08,Boston Red Sox,Innings 1-3,7
718667,2023-04-08,Boston Red Sox,Innings 7+,6
718667,2023-04-08,Detroit Tigers,Innings 4-6,2
718667,2023-04-08,Detroit Tigers,Innings 7+,3
718665,2023-04-08,Tampa Bay Rays,Innings 4-6,9
718665,2023-04-08,Tampa Bay Rays,Innings 7+,2
718661,2023-04-08,Miami Marlins,Innings 4-6,1
718661,2023-04-08,Miami Marlins,Innings 7+,1
718661,2023-04-08,New York Mets,Innings 1-3,1
718661,2023-04-08,New York Mets,Innings 4-6,4
718663,2023-04-08,Cleveland Guardians,Innings 4-6,1
718663,2023-04-08,Cleveland Guardians,Innings 7+,1
718663,2023-04-08,Seattle Mariners,Innings 1-3,3
718662,2023-04-08,Chicago White Sox,Innings 1-3,4
718662,2023-04-08,Chicago White Sox,Innings 4-6,1
718662,2023-04-08,Chicago White Sox,Innings 7+,5
718662,2023-04-08,Pittsburgh Pirates,Innings 1-3,2
718662,2023-04-08,Pittsburgh Pirates,Innings 4-6,2
718662,2023-04-08,Pittsburgh Pirates,Innings 7+,1
718664,2023-04-08,Baltimore Orioles,Innings 1-3,1
718664,2023-04-08,New York Yankees,Innings 4-6,4
718660,2023-04-08,St. Louis Cardinals,Innings 1-3,6
718659,2023-04-08,Atlanta Braves,Innings 7+,1
718659,2023-04-08,San Diego Padres,Innings 1-3,1
718659,2023-04-08,San Diego Padres,Innings 4-6,2
718656,2023-04-09,Arizona Diamondbacks,Innings 1-3,6
718656,2023-04-09,Arizona Diamondbacks,Innings 4-6,3
718656,2023-04-09,Arizona Diamondbacks,Innings 7+,3
718656,2023-04-09,Los Angeles Dodgers,Innings 1-3,4
718656,2023-04-09,Los Angeles Dodgers,Innings 4-6,2
718656,2023-04-09,Los Angeles Dodgers,Innings 7+,2
718658,2023-04-09,Colorado Rockies,Innings 4-6,2
718658,2023-04-09,Colorado Rockies,Innings 7+,4
718658,2023-04-09,Washington Nationals,Innings 1-3,3
718658,2023-04-09,Washington Nationals,Innings 4-6,2
718658,2023-04-09,Washington Nationals,Innings 7+,2
718657,2023-04-09,Los Angeles Angels,Innings 1-3,1
718657,2023-04-09,Los Angeles Angels,Innings 4-6,6
