game_pk,date,away_team,home_team,first_score
718702,2023-04-05,Pittsburgh Pirates,Boston Red Sox,Pittsburgh Pirates
718698,2023-04-05,New York Mets,Milwaukee Brewers,New York Mets
718694,2023-04-05,Baltimore Orioles,Texas Rangers,Texas Rangers
718696,2023-04-05,Detroit Tigers,Houston Astros,Houston Astros
718695,2023-04-05,San Francisco Giants,Chicago White Sox,Chicago White Sox
718689,2023-04-05,Cleveland Guardians,Oakland Athletics,Cleveland Guardians
718691,2023-04-05,Los Angeles Angels,Seattle Mariners,Seattle Mariners
718692,2023-04-05,Toronto Blue Jays,Kansas City Royals,Toronto Blue Jays
718690,2023-04-06,Boston Red Sox,Detroit Tigers,Detroit Tigers
718686,2023-04-06,Toronto Blue Jays,Kansas City Royals,Toronto Blue Jays
718687,2023-04-06,San Francisco Giants,Chicago White Sox,San Francisco Giants
718682,2023-04-06,Washington Nationals,Colorado Rockies,Colorado Rockies
718681,2023-04-06,San Diego Padres,Atlanta Braves,Atlanta Braves
718683,2023-04-06,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers
718693,2023-04-07,Miami Marlins,New York Mets,New York Mets
718685,2023-04-07,Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies
718688,2023-04-07,New York Yankees,Baltimore Orioles,Baltimore Orioles
718684,2023-04-07,Houston Astros,Minnesota Twins,Houston Astros
718693,2023-04-07,Miami Marlins,New York Mets,New York Mets
718675,2023-04-07,Texas Rangers,Chicago Cubs,Chicago Cubs
718685,2023-04-07,Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies
718688,2023-04-07,New York Yankees,Baltimore Orioles,Baltimore Orioles
718677,2023-04-07,Seattle Mariners,Cleveland Guardians,Cleveland Guardians
718684,2023-04-07,Houston Astros,Minnesota Twins,Houston Astros
718679,2023-04-07,Chicago White Sox,Pittsburgh Pirates,Chicago White Sox
718680,2023-04-07,Kansas City Royals,San Francisco Giants,Kansas City Royals
718678,2023-04-07,Oakland Athletics,Tampa Bay Rays,Oakland Athletics
718676,2023-04-07,San Diego Padres,Atlanta Braves,San Diego Padres
718674,2023-04-07,St. Louis Cardinals,Milwaukee Brewers,Milwaukee Brewers
