game_pk,hitter_name,hitter_team,hrs
718720,Taylor Ward,Los Angeles Angels,1
718718,Chris Taylor,Los Angeles Dodgers,1
718718,Jason Heyward,Los Angeles Dodgers,1
718718,Will Smith,Los Angeles Dodgers,1
718717,Nelson Cruz,San Diego Padres,1
718717,Trent Grisham,San Diego Padres,1
718717,Xander Bogaerts,San Diego Padres,1
718716,Jason Vosler,Cincinnati Reds,1
718716,Stuart Fairchild,Cincinnati Reds,1
718716,TJ Friedl,Cincinnati Reds,1
718714,Avisail Garcia,Miami Marlins,1
718715,Jose Siri,Tampa Bay Rays,1
718715,Josh Lowe,Tampa Bay Rays,1
718715,Luke Raley,Tampa Bay Rays,1
718715,Yandy Diaz,Tampa Bay Rays,1
718710,Brandon Marsh,Philadelphia Phillies,1
718710,DJ LeMahieu,New York Yankees,1
718710,Kyle Schwarber,Philadelphia Phillies,1
718713,Bryan Reynolds,Pittsburgh Pirates,1
718713,Ji Hwan Bae,Pittsburgh Pirates,1
718708,Daulton Varsho,Toronto Blue Jays,1
718708,Franmil Reyes,Kansas City Royals,1
718712,Brian Anderson,Milwaukee Brewers,2
718712,Garrett Mitchell,Milwaukee Brewers,2
718712,Rowdy Tellez,Milwaukee Brewers,1
718711,Austin Riley,Atlanta Braves,1
718711,Orlando Arcia,Atlanta Braves,1
718709,Adolis Garcia,Texas Rangers,1
718709,Jorge Mateo,Baltimore Orioles,1
718709,Nathaniel Lowe,Texas Rangers,1
718709,Ryan Mountcastle,Baltimore Orioles,1
718705,Kyle Tucker,Houston Astros,1
718705,Spencer Torkelson,Detroit Tigers,1
718707,Gabriel Arias,Cleveland Guardians,1
718706,AJ Pollock,Seattle Mariners,2
718706,Teoscar Hernandez,Seattle Mariners,2
718703,Jason Heyward,Los Angeles Dodgers,1
718703,Max Muncy,Los Angeles Dodgers,1
718703,Will Smith,Los Angeles Dodgers,1
718704,Harold Ramirez,Tampa Bay Rays,1
718704,Wander Franco,Tampa Bay Rays,1
718699,Jose Trevino,New York Yankees,1
718699,Kyle Schwarber,Philadelphia Phillies,1
718701,Jorge Soler,Miami Marlins,2
718697,Jordan Walker,St. Louis Cardinals,1
718697,Matt Olson,Atlanta Braves,1
718702,Carlos Santana,Pittsburgh Pirates,1
718698,Garrett Mitchell,Milwaukee Brewers,1
718698,Joey Wiemer,Milwaukee Brewers,1
718698,Pete Alonso,New York Mets,2
718694,Josh Jung,Texas Rangers,1
718696,Chas McCormick,Houston Astros,1
718696,Jeremy Pena,Houston Astros,1
718696,Kyle Tucker,Houston Astros,1
718695,J.D. Davis,San Francisco Giants,1
718689,Jesus Aguilar,Oakland Athletics,1
718689,Ryan Noda,Oakland Athletics,1
718691,Logan O'Hoppe,Los Angeles Angels,1
718692,Vladimir Guerrero Jr.,Toronto Blue Jays,1
718690,Adam Duvall,Boston Red Sox,1
718690,Jake Rogers,Detroit Tigers,1
718690,Rafael Devers,Boston Red Sox,1
718686,Bobby Witt Jr.,Kansas City Royals,1
718686,Cavan Biggio,Toronto Blue Jays,1
718686,Vladimir Guerrero Jr.,Toronto Blue Jays,1
718687,Blake Sabol,San Francisco Giants,1
718687,J.D. Davis,San Francisco Giants,1
718687,Michael Conforto,San Francisco Giants,1
718687,Mike Yastrzemski,San Francisco Giants,1
718687,Wilmer Flores,San Francisco Giants,1
718681,Jake Cronenworth,San Diego Padres,1
718681,Matt Carpenter,San Diego Padres,1
718681,Orlando Arcia,Atlanta Braves,1
718683,Freddie Freeman,Los Angeles Dodgers,1
718693,Francisco Lindor,New York Mets,1
718693,Garrett Cooper,Miami Marlins,1
718693,Pete Alonso,New York Mets,1
718693,Starling Marte,New York Mets,1
718685,Edmundo Sosa,Philadelphia Phillies,1
718685,J.T. Realmuto,Philadelphia Phillies,1
718688,Franchy Cordero,New York Yankees,1
718677,Julio Rodriguez,Seattle Mariners,1
718679,Bryan Reynolds,Pittsburgh Pirates,1
718679,Carlos Santana,Pittsburgh Pirates,1
718679,Jake Burger,Chicago White Sox,1
718679,Luis Robert Jr.,Chicago White Sox,2
718679,Oscar Colas,Chicago White Sox,1
718680,Salvador Perez,Kansas City Royals,1
718680,Vinnie Pasquantino,Kansas City Royals,1
718678,Christian Bethancourt,Tampa Bay Rays,1
718678,Harold Ramirez,Tampa Bay Rays,1
718678,Isaac Paredes,Tampa Bay Rays,1
718678,Manuel Margot,Tampa Bay Rays,1
718678,Ryan Noda,Oakland Athletics,1
718678,Shea Langeliers,Oakland Athletics,1
718678,Wander Franco,Tampa Bay Rays,1
718676,Marcell Ozuna,Atlanta Braves,1
718674,Willy Adames,Milwaukee Brewers,1
718673,Alex Call,Washington Nationals,1
718673,Jeimer Candelario,Washington Nationals,1
718673,Ryan McMahon,Colorado Rockies,1
718670,Bo Bichette,Toronto Blue Jays,1
718670,Mike Trout,Los Angeles Angels,1
718671,Chris Taylor,Los Angeles Dodgers,1
718671,Corbin Carroll,Arizona Diamondbacks,1
