game_pk,hitter_name,hitter_team,hrs
718499,James Outman,Los Angeles Dodgers,2
718499,Max Muncy,Los Angeles Dodgers,1
718494,Matt Carpenter,San Diego Padres,1
718494,Xander Bogaerts,San Diego Padres,1
718503,Blake Sabol,San Francisco Giants,1
718503,Eduardo Escobar,New York Mets,1
718503,Jeff McNeil,New York Mets,1
718503,LaMonte Wade Jr.,San Francisco Giants,1
718503,Pete Alonso,New York Mets,1
718491,Cody Bellinger,Chicago Cubs,1
718491,Nico Hoerner,Chicago Cubs,1
718491,Patrick Wisdom,Chicago Cubs,1
718491,Trey Mancini,Chicago Cubs,1
718486,Brandon Lowe,Tampa Bay Rays,1
718486,Christian Bethancourt,Tampa Bay Rays,1
718486,Eloy Jimenez,Chicago White Sox,1
718486,Harold Ramirez,Tampa Bay Rays,1
718495,Austin Hays,Baltimore Orioles,1
718493,Kyle Schwarber,Philadelphia Phillies,1
718493,Ryan McMahon,Colorado Rockies,1
718487,Brandon Belt,Toronto Blue Jays,1
718487,Oswaldo Cabrera,New York Yankees,1
718487,Vladimir Guerrero Jr.,Toronto Blue Jays,1
718489,Yordan Alvarez,Houston Astros,1
718490,Jonah Heim,Texas Rangers,1
718490,Jordan Diaz,Oakland Athletics,1
718490,Tony Kemp,Oakland Athletics,1
718482,Joey Gallo,Minnesota Twins,1
718482,Joey Meneses,Washington Nationals,1
718483,Alex Verdugo,Boston Red Sox,1
718483,Rowdy Tellez,Milwaukee Brewers,1
718485,Chad Wallach,Los Angeles Angels,1
718481,Teoscar Hernandez,Seattle Mariners,1
718480,Pete Alonso,New York Mets,1
718476,Anthony Volpe,New York Yankees,1
718476,Danny Jansen,Toronto Blue Jays,1
718468,Byron Buxton,Minnesota Twins,1
718468,CJ Abrams,Washington Nationals,1
718479,James Outman,Los Angeles Dodgers,2
718479,Max Muncy,Los Angeles Dodgers,2
718479,Nico Hoerner,Chicago Cubs,1
718475,Cristian Pache,Philadelphia Phillies,1
718475,Nick Castellanos,Philadelphia Phillies,2
718473,Bryan De La Cruz,Miami Marlins,1
718478,Brandon Crawford,San Francisco Giants,1
718478,Brandon Nimmo,New York Mets,1
718478,Wilmer Flores,San Francisco Giants,1
718477,Eloy Jimenez,Chicago White Sox,1
718477,Gavin Sheets,Chicago White Sox,1
718477,Randy Arozarena,Tampa Bay Rays,1
718477,Yasmani Grandal,Chicago White Sox,1
718472,James McCann,Baltimore Orioles,1
718472,Zach McKinstry,Detroit Tigers,1
718469,Adolis Garcia,Texas Rangers,3
718469,Ezequiel Duran,Texas Rangers,1
718469,Jesus Aguilar,Oakland Athletics,1
718470,Rafael Devers,Boston Red Sox,1
718470,Rowdy Tellez,Milwaukee Brewers,1
718470,Yu Chang,Boston Red Sox,1
718471,Kyle Tucker,Houston Astros,1
718471,Ozzie Albies,Atlanta Braves,1
718471,Sean Murphy,Atlanta Braves,1
718471,Yordan Alvarez,Houston Astros,1
718467,Christian Walker,Arizona Diamondbacks,1
718467,Fernando Tatis Jr.,San Diego Padres,1
718466,Hunter Renfroe,Los Angeles Angels,2
718466,Matt Thaiss,Los Angeles Angels,1
718466,Mike Trout,Los Angeles Angels,1
718464,Jarred Kelenic,Seattle Mariners,1
718464,Teoscar Hernandez,Seattle Mariners,1
718464,Tommy Edman,St. Louis Cardinals,1
718458,Brandon Marsh,Philadelphia Phillies,1
718458,Bryson Stott,Philadelphia Phillies,1
718458,Kody Clemens,Philadelphia Phillies,1
718458,Trea Turner,Philadelphia Phillies,1
718462,Kevin Pillar,Atlanta Braves,1
718465,Anthony Rizzo,New York Yankees,1
718465,Daulton Varsho,Toronto Blue Jays,1
718465,Vladimir Guerrero Jr.,Toronto Blue Jays,1
718457,Harold Ramirez,Tampa Bay Rays,1
718457,Luke Raley,Tampa Bay Rays,1
718460,Avisail Garcia,Miami Marlins,1
718460,Jon Berti,Miami Marlins,1
718460,Jose Ramirez,Cleveland Guardians,1
718460,Josh Bell,Cleveland Guardians,1
718454,Jorge Polanco,Minnesota Twins,1
718454,Michael A. Taylor,Minnesota Twins,1
718461,Brian Anderson,Milwaukee Brewers,2
718461,Justin Turner,Boston Red Sox,1
718461,Masataka Yoshida,Boston Red Sox,2
718451,J.D. Martinez,Los Angeles Dodgers,1
718451,Max Muncy,Los Angeles Dodgers,1
718451,Mookie Betts,Los Angeles Dodgers,1
718451,Yan Gomes,Chicago Cubs,1
718453,Robbie Grossman,Texas Rangers,1
718453,Shea Langeliers,Oakland Athletics,1
718452,Bobby Witt Jr.,Kansas City Royals,1
718452,MJ Melendez,Kansas City Royals,1
718452,Mike Trout,Los Angeles Angels,1
718452,Shohei Ohtani,Los Angeles Angels,1
718452,Taylor Ward,Los Angeles Angels,1
718452,Vinnie Pasquantino,Kansas City Royals,1
718456,Alek Thomas,Arizona Diamondbacks,1
718456,Jake McCarthy,Arizona Diamondbacks,1
718456,Matt Carpenter,San Diego Padres,1
718456,Nick Ahmed,Arizona Diamondbacks,1
718450,Jarred Kelenic,Seattle Mariners,1
718450,Lars Nootbaar,St. Louis Cardinals,1
718450,Nolan Gorman,St. Louis Cardinals,1
718450,Paul DeJong,St. Louis Cardinals,1
718455,Francisco Alvarez,New York Mets,1
718455,Thairo Estrada,San Francisco Giants,1
718448,Jurickson Profar,Colorado Rockies,1
718447,Rafael Devers,Boston Red Sox,1
718447,Triston Casas,Boston Red Sox,1
718449,Alex Bregman,Houston Astros,1
718449,Jeremy Pena,Houston Astros,1
718445,Josh Jung,Texas Rangers,2
718444,Cavan Biggio,Toronto Blue Jays,1
718443,Austin Riley,Atlanta Braves,1
718443,Eddie Rosario,Atlanta Braves,1
718443,Sam Hilliard,Atlanta Braves,2
718443,Sean Murphy,Atlanta Braves,1
718442,Joey Gallo,Minnesota Twins,1
718441,Mike Brosseau,Milwaukee Brewers,1
718441,Nick Maton,Detroit Tigers,1
718441,William Contreras,Milwaukee Brewers,1
718437,Brandon Drury,Los Angeles Angels,2
718437,Brent Rooker,Oakland Athletics,2
718437,Chad Wallach,Los Angeles Angels,1
718437,Jesus Aguilar,Oakland Athletics,2
718437,Kevin Smith,Oakland Athletics,1
718438,Edward Olivares,Kansas City Royals,1
718446,J.D. Davis,San Francisco Giants,1
718440,Charlie Blackmon,Colorado Rockies,1
718435,Cedric Mullins,Baltimore Orioles,1
718435,Gunnar Henderson,Baltimore Orioles,1
718435,Jarren Duran,Boston Red Sox,1
718435,Jorge Mateo,Baltimore Orioles,1
718432,Andrew McCutchen,Pittsburgh Pirates,1
718432,Chris Taylor,Los Angeles Dodgers,1
718434,Josh H. Smith,Texas Rangers,1
718434,Marcus Semien,Texas Rangers,1
718434,Nathaniel Lowe,Texas Rangers,1
718430,Edmundo Sosa,Philadelphia Phillies,1
718430,Jarred Kelenic,Seattle Mariners,1
718430,Teoscar Hernandez,Seattle Mariners,1
718433,Danny Jansen,Toronto Blue Jays,2
718431,Keibert Ruiz,Washington Nationals,1
718429,Eddie Rosario,Atlanta Braves,1
718429,Jazz Chisholm Jr.,Miami Marlins,1
718429,Ozzie Albies,Atlanta Braves,2
718429,Yuli Gurriel,Miami Marlins,1
718426,Yan Gomes,Chicago Cubs,1
718427,Byron Buxton,Minnesota Twins,1
718427,Trevor Larnach,Minnesota Twins,1
718428,Kerry Carpenter,Detroit Tigers,1
718428,Rowdy Tellez,Milwaukee Brewers,1
718425,Shea Langeliers,Oakland Athletics,1
718439,Blake Sabol,San Francisco Giants,1
718439,Mike Yastrzemski,San Francisco Giants,1
718439,Tommy Edman,St. Louis Cardinals,1
718424,Nick Senzel,Cincinnati Reds,1
718416,Masataka Yoshida,Boston Red Sox,1
718420,Bo Bichette,Toronto Blue Jays,1
718421,Josh Naylor,Cleveland Guardians,1
718417,Gleyber Torres,New York Yankees,1
718417,Joey Gallo,Minnesota Twins,1
718417,Jose Miranda,Minnesota Twins,2
718419,Joey Wiemer,Milwaukee Brewers,1
718419,Victor Caratini,Milwaukee Brewers,1
718413,Freddie Freeman,Los Angeles Dodgers,1
718415,J.P. Crawford,Seattle Mariners,1
718415,Julio Rodriguez,Seattle Mariners,1
718415,Nick Castellanos,Philadelphia Phillies,1
718412,Jeimer Candelario,Washington Nationals,1
718411,Avisail Garcia,Miami Marlins,1
718411,Jazz Chisholm Jr.,Miami Marlins,1
718411,Jesus Sanchez,Miami Marlins,1
718411,Matt Olson,Atlanta Braves,1
718411,Ronald Acuna Jr.,Atlanta Braves,1
718407,Trey Mancini,Chicago Cubs,1
718408,Brandon Drury,Los Angeles Angels,1
718408,Hunter Renfroe,Los Angeles Angels,1
718408,Kevin Smith,Oakland Athletics,1
718408,Shohei Ohtani,Los Angeles Angels,1
718423,LaMonte Wade Jr.,San Francisco Giants,1
718423,Paul Goldschmidt,St. Louis Cardinals,2
718423,Wilmer Flores,San Francisco Giants,1
718403,Connor Joe,Pittsburgh Pirates,1
718403,Rodolfo Castro,Pittsburgh Pirates,1
718406,Dansby Swanson,Chicago Cubs,1
718406,Eric Hosmer,Chicago Cubs,1
718406,Manny Machado,San Diego Padres,1
718406,Nelson Velazquez,Chicago Cubs,1
718409,Alec Burleson,St. Louis Cardinals,1
718409,Paul DeJong,St. Louis Cardinals,1
718402,Brandon Drury,Los Angeles Angels,1
718402,Brent Rooker,Oakland Athletics,1
718402,Shea Langeliers,Oakland Athletics,1
718405,Anthony Santander,Baltimore Orioles,1
718398,Alex Call,Washington Nationals,1
718398,Brett Baty,New York Mets,1
718398,CJ Abrams,Washington Nationals,1
718396,Brandon Lowe,Tampa Bay Rays,1
718396,Jake Burger,Chicago White Sox,1
718396,Luke Raley,Tampa Bay Rays,1
718396,Yandy Diaz,Tampa Bay Rays,1
718400,Byron Buxton,Minnesota Twins,1
718400,Carlos Correa,Minnesota Twins,1
718400,Vinnie Pasquantino,Kansas City Royals,1
718397,DJ LeMahieu,New York Yankees,1
718397,Gleyber Torres,New York Yankees,1
718397,Jose Trevino,New York Yankees,1
718387,Jorge Polanco,Minnesota Twins,1
718387,Jose Miranda,Minnesota Twins,1
718387,Max Kepler,Minnesota Twins,1
718387,Salvador Perez,Kansas City Royals,1
718391,Nelson Velazquez,Chicago Cubs,1
718392,Alejandro Kirk,Toronto Blue Jays,1
718392,Cal Raleigh,Seattle Mariners,1
718395,Mike Zunino,Cleveland Guardians,1
718395,Will Brennan,Cleveland Guardians,1
718394,Matt Olson,Atlanta Braves,1
718393,Andrew Vaughn,Chicago White Sox,1
718393,Isaac Paredes,Tampa Bay Rays,1
718393,Jake Burger,Chicago White Sox,1
718388,Robbie Grossman,Texas Rangers,1
718389,Jeremy Pena,Houston Astros,1
718389,Kyle Schwarber,Philadelphia Phillies,1
718386,Willy Adames,Milwaukee Brewers,1
718390,Ketel Marte,Arizona Diamondbacks,1
718380,Brent Rooker,Oakland Athletics,1
718380,Jake Fraley,Cincinnati Reds,1
718380,Ryan Noda,Oakland Athletics,1
718382,Miguel Vargas,Los Angeles Dodgers,1
718382,Mookie Betts,Los Angeles Dodgers,1
718401,Ryan McKenna,Baltimore Orioles,1
718401,Tyler Nevin,Detroit Tigers,1
718399,Dominic Smith,Washington Nationals,1
718399,Jack Suwinski,Pittsburgh Pirates,1
718399,Miguel Andujar,Pittsburgh Pirates,1
718381,James McCann,Baltimore Orioles,1
718381,Jorge Mateo,Baltimore Orioles,1
718381,Zack Short,Detroit Tigers,1
718383,Connor Joe,Pittsburgh Pirates,1
718383,Miguel Andujar,Pittsburgh Pirates,1
718378,Byron Buxton,Minnesota Twins,1
718375,Cody Bellinger,Chicago Cubs,1
718375,Patrick Wisdom,Chicago Cubs,1
718377,Luke Maile,Cincinnati Reds,1
718385,Andres Gimenez,Cleveland Guardians,1
718385,Josh Bell,Cleveland Guardians,1
718385,Rafael Devers,Boston Red Sox,1
718372,Jeremy Pena,Houston Astros,1
718372,Kody Clemens,Philadelphia Phillies,1
718372,Nick Castellanos,Philadelphia Phillies,1
718384,Blake Sabol,San Francisco Giants,1
718384,Brandon Crawford,San Francisco Giants,1
718384,David Villar,San Francisco Giants,1
718384,Fernando Tatis Jr.,San Diego Padres,1
718384,Juan Soto,San Diego Padres,1
718384,LaMonte Wade Jr.,San Francisco Giants,1
718384,Manny Machado,San Diego Padres,2
718384,Mitch Haniger,San Francisco Giants,1
718384,Nelson Cruz,San Diego Padres,1
718384,Xander Bogaerts,San Diego Padres,1
718374,Ezequiel Duran,Texas Rangers,1
718373,Francisco Mejia,Tampa Bay Rays,1
718373,Josh Lowe,Tampa Bay Rays,1
718373,Randy Arozarena,Tampa Bay Rays,2
718373,Wander Franco,Tampa Bay Rays,1
718376,Mike Trout,Los Angeles Angels,2
718366,Christian Walker,Arizona Diamondbacks,1
718366,Geraldo Perdomo,Arizona Diamondbacks,1
718364,Cody Bellinger,Chicago Cubs,1
718370,Alex Verdugo,Boston Red Sox,1
718370,Connor Wong,Boston Red Sox,1
718363,Bo Bichette,Toronto Blue Jays,1
718363,Cal Raleigh,Seattle Mariners,2
718363,Taylor Trammell,Seattle Mariners,1
718363,Teoscar Hernandez,Seattle Mariners,1
718360,Adam Frazier,Baltimore Orioles,1
718360,Jake Rogers,Detroit Tigers,1
718360,Jorge Mateo,Baltimore Orioles,1
718362,Byron Buxton,Minnesota Twins,1
718355,Andrew Vaughn,Chicago White Sox,1
718355,Christian Bethancourt,Tampa Bay Rays,1
718355,Luke Raley,Tampa Bay Rays,2
718355,Taylor Walls,Tampa Bay Rays,1
718355,Yasmani Grandal,Chicago White Sox,1
718365,Jake Lamb,Los Angeles Angels,1
718365,Shohei Ohtani,Los Angeles Angels,1
718356,Adolis Garcia,Texas Rangers,1
718356,Jonah Heim,Texas Rangers,1
718356,Josh Jung,Texas Rangers,1
718356,Nathaniel Lowe,Texas Rangers,1
718358,C.J. Cron,Colorado Rockies,1
718358,Evan Longoria,Arizona Diamondbacks,1
718368,Austin Nola,San Diego Padres,1
718368,J.D. Davis,San Francisco Giants,1
718368,LaMonte Wade Jr.,San Francisco Giants,1
718368,Mitch Haniger,San Francisco Giants,1
718357,Brent Rooker,Oakland Athletics,1
718357,Jesus Aguilar,Oakland Athletics,1
718357,Nick Senzel,Cincinnati Reds,1
718354,J.T. Realmuto,Philadelphia Phillies,1
718354,Jake Meyers,Houston Astros,1
718354,Kody Clemens,Philadelphia Phillies,1
718361,Jeff McNeil,New York Mets,1
718352,Brett Baty,New York Mets,1
718352,Eduardo Escobar,New York Mets,1
718352,Kevin Pillar,Atlanta Braves,1
718352,Pete Alonso,New York Mets,1
718352,Ronald Acuna Jr.,Atlanta Braves,1
718352,Sean Murphy,Atlanta Braves,2
718349,Dansby Swanson,Chicago Cubs,1
718349,Ian Happ,Chicago Cubs,1
718349,Lane Thomas,Washington Nationals,1
718351,Jose Trevino,New York Yankees,1
718353,Alex Verdugo,Boston Red Sox,1
718353,Bo Bichette,Toronto Blue Jays,1
718353,Enmanuel Valdez,Boston Red Sox,1
718353,Jarren Duran,Boston Red Sox,1
718350,Joc Pederson,San Francisco Giants,1
718350,LaMonte Wade Jr.,San Francisco Giants,1
718345,Ha-Seong Kim,San Diego Padres,1
718345,Nick Senzel,Cincinnati Reds,1
718343,David Peralta,Los Angeles Dodgers,1
718343,Jason Heyward,Los Angeles Dodgers,1
718343,Kyle Schwarber,Philadelphia Phillies,1
718343,Mookie Betts,Los Angeles Dodgers,1
718343,Will Smith,Los Angeles Dodgers,1
718347,Harold Ramirez,Tampa Bay Rays,1
718346,Ozzie Albies,Atlanta Braves,1
718344,Patrick Wisdom,Chicago Cubs,1
718339,Anthony Volpe,New York Yankees,1
718339,Willie Calhoun,New York Yankees,1
718341,Christian Arroyo,Boston Red Sox,1
718341,Connor Wong,Boston Red Sox,2
718341,Daulton Varsho,Toronto Blue Jays,1
718341,Masataka Yoshida,Boston Red Sox,1
718340,Eloy Jimenez,Chicago White Sox,1
718340,Nick Gordon,Minnesota Twins,1
718336,Bobby Witt Jr.,Kansas City Royals,1
718336,MJ Melendez,Kansas City Royals,1
718336,Ryan Mountcastle,Baltimore Orioles,2
718336,Salvador Perez,Kansas City Royals,2
718338,Taylor Ward,Los Angeles Angels,1
718342,Christian Walker,Arizona Diamondbacks,1
718342,Ezequiel Duran,Texas Rangers,1
718342,Ketel Marte,Arizona Diamondbacks,1
718334,Elias Diaz,Colorado Rockies,1
718334,Ezequiel Tovar,Colorado Rockies,1
718332,AJ Pollock,Seattle Mariners,1
718331,Freddie Freeman,Los Angeles Dodgers,1
718331,Trea Turner,Philadelphia Phillies,1
718348,Eric Haase,Detroit Tigers,1
718348,Francisco Lindor,New York Mets,1
718348,Javier Baez,Detroit Tigers,1
718348,Mark Canha,New York Mets,1
718348,Tommy Pham,New York Mets,1
718329,Eric Haase,Detroit Tigers,1
718329,Matt Vierling,Detroit Tigers,1
718325,Christian Walker,Arizona Diamondbacks,2
718325,Jonah Heim,Texas Rangers,1
718325,Josh Jung,Texas Rangers,2
718325,Ketel Marte,Arizona Diamondbacks,1
718325,Leody Taveras,Texas Rangers,1
718325,Lourdes Gurriel Jr.,Arizona Diamondbacks,1
718326,Alex Bregman,Houston Astros,1
718326,Wilmer Flores,San Francisco Giants,1
718330,Brett Sullivan,San Diego Padres,1
718330,Spencer Steer,Cincinnati Reds,1
718327,Max Muncy,Los Angeles Dodgers,1
718327,Miguel Vargas,Los Angeles Dodgers,1
718328,Andrew McCutchen,Pittsburgh Pirates,1
718328,Josh Lowe,Tampa Bay Rays,1
718328,Wander Franco,Tampa Bay Rays,1
718321,Austin Riley,Atlanta Braves,1
718321,Jesus Sanchez,Miami Marlins,1
718321,Marcell Ozuna,Atlanta Braves,2
718321,Michael Harris II,Atlanta Braves,1
718321,Ozzie Albies,Atlanta Braves,1
718321,Ronald Acuna Jr.,Atlanta Braves,1
718324,Jake Bauers,New York Yankees,1
718324,Willie Calhoun,New York Yankees,1
718323,Daulton Varsho,Toronto Blue Jays,1
718323,Vladimir Guerrero Jr.,Toronto Blue Jays,1
718322,Luis Robert Jr.,Chicago White Sox,1
718322,Nick Gordon,Minnesota Twins,1
718314,Vinnie Pasquantino,Kansas City Royals,1
718320,Brandon Drury,Los Angeles Angels,1
718320,Dylan Carlson,St. Louis Cardinals,1
718320,Jake Lamb,Los Angeles Angels,1
718320,Mike Trout,Los Angeles Angels,1
718320,Nolan Gorman,St. Louis Cardinals,1
718315,Charlie Blackmon,Colorado Rockies,1
718315,Kris Bryant,Colorado Rockies,1
718319,AJ Pollock,Seattle Mariners,1
718319,Eugenio Suarez,Seattle Mariners,1
718317,Alex Call,Washington Nationals,1
718317,Lane Thomas,Washington Nationals,1
718318,Javier Baez,Detroit Tigers,1
718318,Riley Greene,Detroit Tigers,1
718309,Randy Arozarena,Tampa Bay Rays,1
718309,Taylor Walls,Tampa Bay Rays,1
718309,Yandy Diaz,Tampa Bay Rays,1
718311,Luis Rengifo,Los Angeles Angels,1
718311,Tommy Edman,St. Louis Cardinals,1
718312,Anthony Santander,Baltimore Orioles,1
718312,Freddy Fermin,Kansas City Royals,1
718312,Gunnar Henderson,Baltimore Orioles,1
718312,Kyle Isbel,Kansas City Royals,1
718312,Salvador Perez,Kansas City Royals,1
718310,Byron Buxton,Minnesota Twins,1
718310,Carlos Correa,Minnesota Twins,1
718310,Eloy Jimenez,Chicago White Sox,1
718313,Christian Yelich,Milwaukee Brewers,1
718313,Rowdy Tellez,Milwaukee Brewers,1
718313,Tyrone Taylor,Milwaukee Brewers,1
718304,JJ Bleday,Oakland Athletics,1
718304,Taylor Trammell,Seattle Mariners,1
718308,Jorge Soler,Miami Marlins,1
718308,Marcell Ozuna,Atlanta Braves,1
718308,Matt Olson,Atlanta Braves,1
718316,Masataka Yoshida,Boston Red Sox,1
718316,Rafael Devers,Boston Red Sox,1
718316,Vladimir Guerrero Jr.,Toronto Blue Jays,1
718303,Ian Happ,Chicago Cubs,1
718307,George Springer,Toronto Blue Jays,1
718305,Elvis Andrus,Chicago White Sox,1
718305,Jonathan India,Cincinnati Reds,1
718305,Luis Robert Jr.,Chicago White Sox,1
718300,Harrison Bader,New York Yankees,1
718300,Randy Arozarena,Tampa Bay Rays,1
718300,Yandy Diaz,Tampa Bay Rays,1
718302,Brandon Nimmo,New York Mets,1
718306,Max Kepler,Minnesota Twins,1
718298,Anthony Santander,Baltimore Orioles,2
718298,Cedric Mullins,Baltimore Orioles,1
718298,Sean Murphy,Atlanta Braves,1
718299,Brent Rooker,Oakland Athletics,1
718299,Nick Pratto,Kansas City Royals,1
718299,Ramon Laureano,Oakland Athletics,1
718292,Andrew Knizner,St. Louis Cardinals,1
718292,Javier Baez,Detroit Tigers,1
718296,Corbin Carroll,Arizona Diamondbacks,1
718296,Luis Garcia,Washington Nationals,1
718295,Fernando Tatis Jr.,San Diego Padres,2
718297,Kyle Tucker,Houston Astros,1
718297,Yordan Alvarez,Houston Astros,1
718293,J.D. Davis,San Francisco Giants,1
718293,Wilmer Flores,San Francisco Giants,1
718288,Dylan Carlson,St. Louis Cardinals,1
718288,Nolan Arenado,St. Louis Cardinals,1
718289,Jorge Soler,Miami Marlins,1
718290,Ezequiel Tovar,Colorado Rockies,1
718285,Carlos Correa,Minnesota Twins,1
718285,Max Kepler,Minnesota Twins,1
718285,Steven Kwan,Cleveland Guardians,1
718286,Jack Suwinski,Pittsburgh Pirates,1
718281,Hanser Alberto,Chicago White Sox,1
718281,Seby Zavala,Chicago White Sox,1
718281,TJ Friedl,Cincinnati Reds,1
718280,Bobby Witt Jr.,Kansas City Royals,1
718280,Freddy Fermin,Kansas City Royals,1
718280,JJ Bleday,Oakland Athletics,1
718284,Bryce Harper,Philadelphia Phillies,1
718284,Trea Turner,Philadelphia Phillies,1
718283,Kevin Pillar,Atlanta Braves,1
718283,Marcell Ozuna,Atlanta Braves,1
718287,Brett Wisely,San Francisco Giants,1
718287,Thairo Estrada,San Francisco Giants,1
718282,Emmanuel Rivera,Arizona Diamondbacks,1
718282,Keibert Ruiz,Washington Nationals,1
718282,Lane Thomas,Washington Nationals,1
718282,Lourdes Gurriel Jr.,Arizona Diamondbacks,1
718279,Chris Taylor,Los Angeles Dodgers,1
718275,Brandon Drury,Los Angeles Angels,1
718277,Matt Olson,Atlanta Braves,1
718278,Daulton Varsho,Toronto Blue Jays,1
718278,Kevin Kiermaier,Toronto Blue Jays,1
718278,Whit Merrifield,Toronto Blue Jays,1
718270,Kyle Schwarber,Philadelphia Phillies,1
718270,Triston Casas,Boston Red Sox,1
718276,Brenton Doyle,Colorado Rockies,1
718276,Daniel Vogelbach,New York Mets,1
718276,Kris Bryant,Colorado Rockies,1
718276,Randal Grichuk,Colorado Rockies,1
718271,Anthony Rizzo,New York Yankees,1
718271,Christian Bethancourt,Tampa Bay Rays,1
718271,Harrison Bader,New York Yankees,1
718271,Jose Siri,Tampa Bay Rays,1
718268,Salvador Perez,Kansas City Royals,1
718272,Brendan Donovan,St. Louis Cardinals,1
718272,Jake Rogers,Detroit Tigers,1
718272,Paul Goldschmidt,St. Louis Cardinals,3
718272,Spencer Torkelson,Detroit Tigers,1
718269,Yuli Gurriel,Miami Marlins,1
718267,Thairo Estrada,San Francisco Giants,1
718267,William Contreras,Milwaukee Brewers,1
718267,Willy Adames,Milwaukee Brewers,1
718264,Adolis Garcia,Texas Rangers,1
718264,Anthony Rendon,Los Angeles Angels,1
718264,Ezequiel Duran,Texas Rangers,1
718264,Hunter Renfroe,Los Angeles Angels,1
718264,Josh H. Smith,Texas Rangers,1
718263,Christian Walker,Arizona Diamondbacks,1
718263,Joey Meneses,Washington Nationals,1
718263,Lourdes Gurriel Jr.,Arizona Diamondbacks,2
718265,Julio Rodriguez,Seattle Mariners,1
718262,Gavin Sheets,Chicago White Sox,1
718262,Hanser Alberto,Chicago White Sox,1
718262,Jonathan India,Cincinnati Reds,1
718262,Spencer Steer,Cincinnati Reds,1
718262,Tyler Stephenson,Cincinnati Reds,1
718262,Wil Myers,Cincinnati Reds,1
718266,James Outman,Los Angeles Dodgers,1
718266,Mookie Betts,Los Angeles Dodgers,1
718261,Andy Ibanez,Detroit Tigers,1
718261,Jose Ramirez,Cleveland Guardians,1
718258,Rodolfo Castro,Pittsburgh Pirates,1
718259,Josh Lowe,Tampa Bay Rays,1
718259,Luke Raley,Tampa Bay Rays,1
718255,Aaron Hicks,New York Yankees,1
718255,DJ LeMahieu,New York Yankees,1
718255,Gleyber Torres,New York Yankees,1
718255,Oswaldo Cabrera,New York Yankees,1
718253,Gavin Sheets,Chicago White Sox,1
718253,MJ Melendez,Kansas City Royals,1
718257,Chris Taylor,Los Angeles Dodgers,1
718257,Joey Wiemer,Milwaukee Brewers,1
718257,Willy Adames,Milwaukee Brewers,1
718254,David Hensley,Houston Astros,1
718254,Hunter Renfroe,Los Angeles Angels,1
718251,Ty France,Seattle Mariners,1
718249,Christian Walker,Arizona Diamondbacks,1
718260,Joc Pederson,San Francisco Giants,1
718252,Jurickson Profar,Colorado Rockies,2
718246,Adley Rutschman,Baltimore Orioles,1
718246,Taylor Walls,Tampa Bay Rays,1
718246,Wander Franco,Tampa Bay Rays,1
718243,Francisco Alvarez,New York Mets,2
718243,Francisco Lindor,New York Mets,1
718243,Pete Alonso,New York Mets,1
718244,Bo Bichette,Toronto Blue Jays,1
718244,Nick Castellanos,Philadelphia Phillies,1
718247,Gleyber Torres,New York Yankees,1
718247,Jake Bauers,New York Yankees,1
718247,Jordan Diaz,Oakland Athletics,3
718245,Justin Turner,Boston Red Sox,1
718245,Matt Olson,Atlanta Braves,1
718240,Christopher Morel,Chicago Cubs,1
718240,Dansby Swanson,Chicago Cubs,1
718240,Lars Nootbaar,St. Louis Cardinals,1
718240,Nolan Gorman,St. Louis Cardinals,1
718240,Paul DeJong,St. Louis Cardinals,1
718242,Manny Machado,San Diego Padres,1
718238,Andrew Vaughn,Chicago White Sox,1
718238,Luis Robert Jr.,Chicago White Sox,1
718238,Vinnie Pasquantino,Kansas City Royals,1
718241,Miguel Vargas,Los Angeles Dodgers,1
718241,Mookie Betts,Los Angeles Dodgers,1
718241,Rowdy Tellez,Milwaukee Brewers,1
718241,Victor Caratini,Milwaukee Brewers,1
718241,Will Smith,Los Angeles Dodgers,1
718237,Martin Maldonado,Houston Astros,1
718237,Zach Neto,Los Angeles Angels,1
718239,Tom Murphy,Seattle Mariners,1
718236,Evan Longoria,Arizona Diamondbacks,1
718236,Jorge Soler,Miami Marlins,2
718250,Casey Schmitt,San Francisco Giants,1
718231,Andrew McCutchen,Pittsburgh Pirates,1
718231,Tucupita Marcano,Pittsburgh Pirates,1
718232,Anthony Volpe,New York Yankees,1
718232,Carlos Perez,Oakland Athletics,1
718232,DJ LeMahieu,New York Yankees,1
718232,Harrison Bader,New York Yankees,1
718232,JJ Bleday,Oakland Athletics,1
718232,Jace Peterson,Oakland Athletics,1
718228,Freddie Freeman,Los Angeles Dodgers,1
718228,Miguel Vargas,Los Angeles Dodgers,1
718228,Will Smith,Los Angeles Dodgers,1
718228,William Contreras,Milwaukee Brewers,1
718229,Marcus Semien,Texas Rangers,1
718226,Jesus Sanchez,Miami Marlins,1
718230,LaMonte Wade Jr.,San Francisco Giants,1
718230,Lane Thomas,Washington Nationals,1
718230,Michael Conforto,San Francisco Giants,1
718230,Riley Adams,Washington Nationals,1
718233,Brandon Belt,Toronto Blue Jays,1
718235,Hunter Renfroe,Los Angeles Angels,1
718235,Shohei Ohtani,Los Angeles Angels,1
718235,Yordan Alvarez,Houston Astros,1
718225,Pete Alonso,New York Mets,1
718220,Ronald Acuna Jr.,Atlanta Braves,1
718220,Triston Casas,Boston Red Sox,1
718221,Patrick Wisdom,Chicago Cubs,1
718221,Yan Gomes,Chicago Cubs,1
718224,Juan Soto,San Diego Padres,1
718224,Max Kepler,Minnesota Twins,1
