game_pk,team,ks
718565,Oakland Athletics,8
718576,Boston Red Sox,6
718576,Los Angeles Angels,10
718566,Cincinnati Reds,11
718566,Philadelphia Phillies,7
718563,Atlanta Braves,5
718563,Kansas City Royals,9
718567,Arizona Diamondbacks,8
718567,Miami Marlins,5
718562,Houston Astros,5
718562,Texas Rangers,8
718564,Chicago Cubs,11
718564,Los Angeles Dodgers,13
718561,Colorado Rockies,7
718561,Seattle Mariners,12
718559,Boston Red Sox,7
718559,Los Angeles Angels,6
718555,Cleveland Guardians,5
718555,Washington Nationals,5
718557,Minnesota Twins,10
718557,New York Yankees,9
718556,Tampa Bay Rays,10
718556,Toronto Blue Jays,7
718554,Cincinnati Reds,8
718554,Philadelphia Phillies,4
718550,Arizona Diamondbacks,11
718550,Miami Marlins,8
718551,Atlanta Braves,12
718551,Kansas City Royals,10
718553,Baltimore Orioles,7
718553,Chicago White Sox,13
718548,Pittsburgh Pirates,6
718548,St. Louis Cardinals,6
718546,New York Mets,6
718546,Oakland Athletics,5
718547,Chicago Cubs,11
718547,Los Angeles Dodgers,11
718545,Colorado Rockies,13
718545,Seattle Mariners,8
718549,Milwaukee Brewers,14
718549,San Diego Padres,11
718552,Houston Astros,8
718552,Texas Rangers,11
718540,Boston Red Sox,9
718540,Los Angeles Angels,10
718542,Cincinnati Reds,9
718542,Tampa Bay Rays,5
718544,Miami Marlins,6
718544,San Francisco Giants,10
718539,Kansas City Royals,10
718539,Texas Rangers,3
718538,Arizona Diamondbacks,10
718538,St. Louis Cardinals,7
718537,Houston Astros,12
718537,Toronto Blue Jays,11
718535,Colorado Rockies,9
718535,Pittsburgh Pirates,4
718536,Chicago Cubs,7
718536,Oakland Athletics,9
718533,Atlanta Braves,9
718533,San Diego Padres,9
718534,Milwaukee Brewers,7
718534,Seattle Mariners,7
718532,Los Angeles Dodgers,9
718532,New York Mets,3
718541,Cleveland Guardians,12
718541,Detroit Tigers,8
718543,Chicago White Sox,4
718543,Philadelphia Phillies,12
718530,Cleveland Guardians,7
718530,Detroit Tigers,4
718541,Cleveland Guardians,12
718541,Detroit Tigers,8
718525,Chicago White Sox,13
718525,Philadelphia Phillies,13
718543,Chicago White Sox,4
718543,Philadelphia Phillies,12
718526,Cincinnati Reds,12
718526,Tampa Bay Rays,8
718528,Miami Marlins,8
718528,San Francisco Giants,12
718531,Baltimore Orioles,6
718531,Washington Nationals,7
718529,Los Angeles Angels,11
718529,New York Yankees,8
718524,Boston Red Sox,13
718524,Minnesota Twins,16
718522,Kansas City Royals,8
718522,Texas Rangers,7
718527,Arizona Diamondbacks,7
718527,St. Louis Cardinals,9
718520,Houston Astros,9
718520,Toronto Blue Jays,8
718521,Colorado Rockies,10
718521,Pittsburgh Pirates,7
718523,Chicago Cubs,7
718523,Oakland Athletics,8
718519,Atlanta Braves,7
718519,San Diego Padres,13
718517,Milwaukee Brewers,15
718517,Seattle Mariners,10
718516,Los Angeles Dodgers,8
718516,New York Mets,11
718515,Cincinnati Reds,12
718515,Tampa Bay Rays,6
718513,Cleveland Guardians,9
718513,Detroit Tigers,7
718511,Miami Marlins,16
718511,San Francisco Giants,12
718512,Arizona Diamondbacks,10
718512,St. Louis Cardinals,6
718514,Kansas City Royals,6
718514,Texas Rangers,11
718510,Chicago White Sox,6
718510,Philadelphia Phillies,9
718508,Los Angeles Dodgers,7
718508,New York Mets,4
718509,Colorado Rockies,8
718509,Pittsburgh Pirates,6
718506,Chicago Cubs,8
718506,Oakland Athletics,9
718507,Atlanta Braves,9
718507,San Diego Padres,8
718502,Milwaukee Brewers,12
718502,Seattle Mariners,7
718518,Baltimore Orioles,10
718518,Washington Nationals,11
718504,Los Angeles Angels,10
718504,New York Yankees,8
718505,Boston Red Sox,6
718505,Minnesota Twins,6
718501,Houston Astros,4
718501,Toronto Blue Jays,11
718497,Boston Red Sox,4
718497,Minnesota Twins,10
718496,Los Angeles Angels,9
718496,New York Yankees,10
718500,Cincinnati Reds,10
718500,Pittsburgh Pirates,11
718498,Colorado Rockies,15
718498,Philadelphia Phillies,11
718499,Chicago Cubs,5
718499,Los Angeles Dodgers,10
718494,Arizona Diamondbacks,8
718494,San Diego Padres,9
718503,New York Mets,8
718503,San Francisco Giants,5
718491,Chicago Cubs,8
718491,Los Angeles Dodgers,13
718492,Cincinnati Reds,8
718492,Pittsburgh Pirates,7
718486,Chicago White Sox,11
718486,Tampa Bay Rays,14
718495,Baltimore Orioles,8
718495,Detroit Tigers,8
718493,Colorado Rockies,3
718493,Philadelphia Phillies,8
718487,New York Yankees,7
718487,Toronto Blue Jays,10
718489,Atlanta Braves,12
718489,Houston Astros,8
718490,Oakland Athletics,5
718490,Texas Rangers,12
718482,Minnesota Twins,7
718482,Washington Nationals,6
718483,Boston Red Sox,7
718483,Milwaukee Brewers,13
718485,Kansas City Royals,14
718485,Los Angeles Angels,4
718484,Arizona Diamondbacks,9
718484,San Diego Padres,13
718481,Seattle Mariners,9
718481,St. Louis Cardinals,7
718480,New York Mets,9
718480,San Francisco Giants,12
718488,Cleveland Guardians,6
718488,Miami Marlins,6
718476,New York Yankees,5
718476,Toronto Blue Jays,6
718468,Minnesota Twins,10
718468,Washington Nationals,12
718479,Chicago Cubs,12
718479,Los Angeles Dodgers,8
718475,Colorado Rockies,11
718475,Philadelphia Phillies,10
718473,Cleveland Guardians,7
718473,Miami Marlins,6
718488,Cleveland Guardians,6
718488,Miami Marlins,6
718478,New York Mets,11
718478,San Francisco Giants,11
718477,Chicago White Sox,15
718477,Tampa Bay Rays,11
718474,Cincinnati Reds,13
718474,Pittsburgh Pirates,9
718472,Baltimore Orioles,10
718472,Detroit Tigers,15
718469,Oakland Athletics,9
718469,Texas Rangers,6
718470,Boston Red Sox,7
718470,Milwaukee Brewers,4
718471,Atlanta Braves,12
718471,Houston Astros,7
718467,Arizona Diamondbacks,7
718467,San Diego Padres,11
718466,Kansas City Royals,3
718466,Los Angeles Angels,9
718464,Seattle Mariners,7
718464,St. Louis Cardinals,15
718458,Colorado Rockies,15
718458,Philadelphia Phillies,5
718459,Baltimore Orioles,9
718459,Detroit Tigers,12
718463,Cincinnati Reds,13
718463,Pittsburgh Pirates,11
718462,Atlanta Braves,13
718462,Houston Astros,11
718465,New York Yankees,12
718465,Toronto Blue Jays,11
718457,Chicago White Sox,7
718457,Tampa Bay Rays,6
718460,Cleveland Guardians,8
718460,Miami Marlins,11
718454,Minnesota Twins,7
718454,Washington Nationals,6
718461,Boston Red Sox,9
718461,Milwaukee Brewers,8
718451,Chicago Cubs,7
718451,Los Angeles Dodgers,10
718453,Oakland Athletics,15
718453,Texas Rangers,6
718452,Kansas City Royals,9
718452,Los Angeles Angels,8
718456,Arizona Diamondbacks,8
718456,San Diego Padres,7
718450,Seattle Mariners,14
718450,St. Louis Cardinals,7
718455,New York Mets,10
718455,San Francisco Giants,10
718448,Cleveland Guardians,5
718448,Colorado Rockies,7
718447,Boston Red Sox,11
718449,Houston Astros,9
718449,Tampa Bay Rays,11
718445,Cincinnati Reds,9
718445,Texas Rangers,11
718444,Chicago White Sox,6
718444,Toronto Blue Jays,6
718443,Atlanta Braves,9
718443,Miami Marlins,14
718442,Minnesota Twins,4
718442,New York Yankees,10
718441,Detroit Tigers,8
718441,Milwaukee Brewers,10
718437,Los Angeles Angels,8
718437,Oakland Athletics,11
718438,Arizona Diamondbacks,6
718438,Kansas City Royals,6
718446,San Francisco Giants,10
718446,St. Louis Cardinals,4
718440,Cleveland Guardians,9
718440,Colorado Rockies,8
718435,Baltimore Orioles,4
718435,Boston Red Sox,5
718432,Los Angeles Dodgers,7
718432,Pittsburgh Pirates,8
718436,Houston Astros,7
718436,Tampa Bay Rays,8
718434,Cincinnati Reds,7
718434,Texas Rangers,14
718430,Philadelphia Phillies,7
718430,Seattle Mariners,9
718433,Chicago White Sox,10
718433,Toronto Blue Jays,5
718431,New York Mets,13
718431,Washington Nationals,5
718429,Atlanta Braves,7
718429,Miami Marlins,11
718426,Chicago Cubs,5
718426,San Diego Padres,9
718427,Minnesota Twins,9
718427,New York Yankees,9
718428,Detroit Tigers,8
718428,Milwaukee Brewers,10
718425,Los Angeles Angels,8
718425,Oakland Athletics,11
718422,Arizona Diamondbacks,9
718422,Kansas City Royals,4
718439,San Francisco Giants,9
718439,St. Louis Cardinals,8
718424,Cincinnati Reds,6
718424,Texas Rangers,8
718416,Baltimore Orioles,4
718416,Boston Red Sox,10
718420,Chicago White Sox,17
718420,Toronto Blue Jays,9
718421,Cleveland Guardians,8
718421,Colorado Rockies,12
718417,Minnesota Twins,11
718417,New York Yankees,12
718419,Detroit Tigers,11
718419,Milwaukee Brewers,10
718418,Arizona Diamondbacks,9
718418,Kansas City Royals,13
718413,Los Angeles Dodgers,10
718413,Pittsburgh Pirates,4
718414,Houston Astros,5
718414,Tampa Bay Rays,10
718415,Philadelphia Phillies,8
718415,Seattle Mariners,14
718412,New York Mets,15
718412,Washington Nationals,13
718411,Atlanta Braves,8
718411,Miami Marlins,7
718407,Chicago Cubs,8
718407,San Diego Padres,7
718408,Los Angeles Angels,10
718408,Oakland Athletics,7
718423,San Francisco Giants,11
718423,St. Louis Cardinals,6
718410,Atlanta Braves,10
718410,Miami Marlins,14
718403,Los Angeles Dodgers,13
718403,Pittsburgh Pirates,9
718404,Philadelphia Phillies,7
718404,Seattle Mariners,9
718406,Chicago Cubs,7
718406,San Diego Padres,5
718409,San Francisco Giants,10
718409,St. Louis Cardinals,9
718402,Los Angeles Angels,8
718402,Oakland Athletics,11
718405,Baltimore Orioles,6
718405,Detroit Tigers,11
718398,New York Mets,5
718398,Washington Nationals,7
718396,Chicago White Sox,7
718396,Tampa Bay Rays,12
718400,Kansas City Royals,13
718400,Minnesota Twins,9
718397,New York Yankees,7
718397,Texas Rangers,10
718387,Kansas City Royals,12
718387,Minnesota Twins,10
718391,Chicago Cubs,9
718391,Miami Marlins,6
718392,Seattle Mariners,16
718392,Toronto Blue Jays,8
718395,Boston Red Sox,5
718395,Cleveland Guardians,8
718394,Atlanta Braves,6
718394,New York Mets,7
718393,Chicago White Sox,8
718393,Tampa Bay Rays,8
718388,New York Yankees,5
718388,Texas Rangers,11
718389,Houston Astros,8
718389,Philadelphia Phillies,7
718386,Los Angeles Angels,3
718386,Milwaukee Brewers,8
718390,Arizona Diamondbacks,4
718390,Colorado Rockies,8
718380,Cincinnati Reds,4
718380,Oakland Athletics,7
718382,Los Angeles Dodgers,10
718382,St. Louis Cardinals,7
718401,Baltimore Orioles,5
718401,Detroit Tigers,12
718399,Pittsburgh Pirates,8
718399,Washington Nationals,6
718381,Baltimore Orioles,7
718381,Detroit Tigers,14
718401,Baltimore Orioles,5
718401,Detroit Tigers,12
718383,Pittsburgh Pirates,7
718383,Washington Nationals,8
718399,Pittsburgh Pirates,8
718399,Washington Nationals,6
718378,Kansas City Royals,7
718378,Minnesota Twins,7
718379,Seattle Mariners,19
718379,Toronto Blue Jays,7
718375,Chicago Cubs,16
718375,Miami Marlins,11
718377,Cincinnati Reds,7
718377,Oakland Athletics,17
718385,Boston Red Sox,4
718385,Cleveland Guardians,10
718372,Houston Astros,11
718372,Philadelphia Phillies,11
718384,San Diego Padres,11
718384,San Francisco Giants,12
718374,New York Yankees,8
718374,Texas Rangers,7
718373,Chicago White Sox,6
718373,Tampa Bay Rays,13
718376,Los Angeles Angels,7
718376,Milwaukee Brewers,11
718366,Arizona Diamondbacks,9
718366,Colorado Rockies,7
718369,Los Angeles Dodgers,10
718369,St. Louis Cardinals,11
718364,Chicago Cubs,6
718364,Miami Marlins,3
718370,Boston Red Sox,10
718370,Cleveland Guardians,7
718367,Pittsburgh Pirates,9
718367,Washington Nationals,5
718363,Seattle Mariners,10
718363,Toronto Blue Jays,8
718360,Baltimore Orioles,6
718360,Detroit Tigers,12
718362,Kansas City Royals,10
718362,Minnesota Twins,13
718355,Chicago White Sox,5
718355,Tampa Bay Rays,13
718365,Los Angeles Angels,10
718365,Milwaukee Brewers,10
718356,New York Yankees,6
718356,Texas Rangers,10
718358,Arizona Diamondbacks,7
718358,Colorado Rockies,4
718368,San Diego Padres,13
718368,San Francisco Giants,11
718357,Cincinnati Reds,13
718357,Oakland Athletics,11
718359,Los Angeles Dodgers,5
718359,St. Louis Cardinals,5
718354,Houston Astros,6
718354,Philadelphia Phillies,8
718361,Atlanta Braves,10
718361,New York Mets,9
718352,Atlanta Braves,6
718352,New York Mets,11
718361,Atlanta Braves,10
718361,New York Mets,9
718349,Chicago Cubs,8
718349,Washington Nationals,5
718351,Cleveland Guardians,7
718351,New York Yankees,3
718353,Boston Red Sox,7
718353,Toronto Blue Jays,10
718350,Houston Astros,7
718350,San Francisco Giants,9
718345,Cincinnati Reds,11
718345,San Diego Padres,9
718343,Los Angeles Dodgers,13
718343,Philadelphia Phillies,6
718347,Pittsburgh Pirates,8
718347,Tampa Bay Rays,5
718346,Atlanta Braves,10
718346,Miami Marlins,9
718344,Chicago Cubs,8
718344,Washington Nationals,3
718339,Cleveland Guardians,11
718339,New York Yankees,7
718341,Boston Red Sox,4
718341,Toronto Blue Jays,6
718340,Chicago White Sox,8
718340,Minnesota Twins,10
718336,Baltimore Orioles,14
718336,Kansas City Royals,10
718338,Los Angeles Angels,8
718338,St. Louis Cardinals,9
718342,Arizona Diamondbacks,4
718342,Texas Rangers,9
718337,Houston Astros,4
718337,San Francisco Giants,8
718334,Colorado Rockies,12
718334,Milwaukee Brewers,5
718335,Cincinnati Reds,6
718335,San Diego Padres,8
718332,Oakland Athletics,16
718332,Seattle Mariners,9
718331,Los Angeles Dodgers,10
718331,Philadelphia Phillies,14
718348,Detroit Tigers,6
718348,New York Mets,5
718348,Detroit Tigers,6
718348,New York Mets,5
718329,Detroit Tigers,5
718329,New York Mets,2
718325,Arizona Diamondbacks,8
718325,Texas Rangers,10
718326,Houston Astros,7
718326,San Francisco Giants,12
718330,Cincinnati Reds,5
718330,San Diego Padres,5
718327,Los Angeles Dodgers,7
718327,Philadelphia Phillies,7
718328,Pittsburgh Pirates,11
718328,Tampa Bay Rays,13
718321,Atlanta Braves,6
718321,Miami Marlins,12
718333,Chicago Cubs,8
718333,Washington Nationals,7
718324,Cleveland Guardians,10
718324,New York Yankees,4
718323,Boston Red Sox,6
718323,Toronto Blue Jays,8
718322,Chicago White Sox,8
718322,Minnesota Twins,12
718314,Baltimore Orioles,6
718320,Los Angeles Angels,8
718320,St. Louis Cardinals,18
718315,Colorado Rockies,8
718315,Milwaukee Brewers,6
718319,Oakland Athletics,11
718319,Seattle Mariners,10
718317,Chicago Cubs,9
718317,Washington Nationals,5
718318,Detroit Tigers,8
718318,New York Mets,12
718309,Pittsburgh Pirates,13
718309,Tampa Bay Rays,8
718311,Los Angeles Angels,8
718311,St. Louis Cardinals,5
718312,Baltimore Orioles,6
718312,Kansas City Royals,12
718310,Chicago White Sox,13
718310,Minnesota Twins,15
718313,Colorado Rockies,4
718313,Milwaukee Brewers,7
718304,Oakland Athletics,4
718304,Seattle Mariners,6
718308,Atlanta Braves,11
718308,Miami Marlins,3
718316,Boston Red Sox,7
718316,Toronto Blue Jays,9
718303,Chicago Cubs,15
718303,Miami Marlins,5
718307,Pittsburgh Pirates,7
